"Time","bound_active_CPC"
0,0
1,3.52159530467668
2,3.50337228537868
3,3.4596784544731
4,3.39376863267164
5,3.31322536381675
6,3.22608586627826
7,3.13959923975079
8,3.05894820539164
9,2.98683500555547
10,2.92414713795381
11,2.87067671099112
12,2.82564013072482
13,2.78800861796649
14,2.75670310816583
15,2.73069855389279
16,2.70907375286727
17,2.69102871701615
18,2.67588457401216
19,2.66307445440244
20,2.65213063906279
21,2.64267068468029
22,2.63438394932959
23,2.6270198798508
24,2.62037724115853
25,2.61429520854822
26,2.60864581926152
27,2.60332771632924
28,2.59826099038366
29,2.59338297145441
30,2.58864479107296
31,2.58400860293425
32,2.57944533595625
33,2.57493288113226
34,2.57045463453944
35,2.56599832900851
36,2.56155509757296
37,2.5571187246871
38,2.55268505066874
39,2.54825149588491
40,2.54381668431648
41,2.53938014515786
42,2.5349420773069
43,2.5305031647627
44,2.52606443169831
45,2.52162713013875
46,2.51719265310318
47,2.5127624681153
48,2.50833806707424
49,2.50392092860339
50,2.49951249059095
