"Time","pH2A_SGO1_CPCi","SGO1_CPCi"
0,0,0
1,1.11755875084655,0.0046955701880509
2,1.17430888421654,0.00225988453228473
3,1.17968620126481,0.00198873249564001
4,1.15954844684866,0.00187540107715309
5,1.12606657279975,0.0018077001528844
6,1.08654547392628,0.00175813351726602
7,1.04540096277472,0.00171757562710207
8,1.00523679980465,0.00168252374335179
9,0.967496737556795,0.00165146467439772
10,0.932894380462555,0.00162366248907906
11,0.901694031030725,0.00159870425833881
12,0.873892006541758,0.00157631645097135
13,0.849332285091928,0.00155628780341534
14,0.827779787927227,0.00153843682443564
15,0.80896545657434,0.00152259805981676
16,0.792613594728094,0.00150861674142878
17,0.778457592787591,0.00149634681535655
18,0.766248426473112,0.00148565038867934
19,0.755758591841103,0.00147639765591774
20,0.746783314174303,0.00146846690035596
21,0.739140136019953,0.00146174447112358
22,0.73266743448459,0.0014561244992284
23,0.727222955589745,0.00145150889972575
24,0.722681701397049,0.00144780691505238
25,0.718934081582585,0.00144493481690325
26,0.715884101533002,0.00144281550952135
27,0.713447704006146,0.00144137813937199
28,0.711551266777816,0.00144055770553135
29,0.710130277969645,0.00144029464666091
30,0.709128157053724,0.00144053446467323
31,0.70849523082913,0.00144122734093039
32,0.708187841451561,0.0014423277941337
33,0.708167570053734,0.00144379432821501
34,0.708400564246579,0.00144558913416237
35,0.70885695810435,0.00144767777118683
36,0.709510368139007,0.00145002890497537
37,0.710337457390939,0.00145261404198905
38,0.711317560065135,0.00145540729506165
39,0.71243235356209,0.00145838515648439
40,0.713665575143595,0.0014615262959008
41,0.715002776385586,0.00146481137582649
42,0.716431108065221,0.00146822287087178
43,0.717939133906647,0.00147174491004769
44,0.719516667332468,0.00147536313750236
45,0.721154628766534,0.00147906456467556
46,0.722844920940521,0.00148283745951043
47,0.724580318854951,0.00148667122866105
48,0.726354373592585,0.00149055631777915
49,0.728161327295065,0.00149448410724378
50,0.729996038151766,0.00149844684090759
