"Time","HASPINi","PLK1i"
0,9.98119345228153,17.4338815435254
1,0.0619346469346537,9.01257479471524
2,0.04278477539681,4.64879320929168
3,0.0378415945346905,2.78729491265414
4,0.0361937843820892,2.08719117580972
5,0.0355830749896236,1.84032243833518
6,0.0353308805201845,1.75710959156569
7,0.0352119779227092,1.73134650178087
8,0.0351477795153226,1.72557455321986
9,0.0351093523623193,1.72673409773241
10,0.0350851005644709,1.73027883643615
11,0.035069740923697,1.73462314250131
12,0.0350604618316579,1.73921292830229
13,0.0350555381556483,1.74385499371667
14,0.0350538012277914,1.74848314425293
15,0.0350544131164411,1.75307613257236
16,0.0350567561771416,1.75762867712886
17,0.035060369654845,1.76214111366773
18,0.0350649086598238,1.76661564942517
19,0.0350701152856279,1.7710549855057
20,0.0350757974318154,1.77546180599508
21,0.0350818128763618,1.77983859267448
22,0.0350880571824875,1.78418757336908
23,0.0350944545640994,1.78851070827002
24,0.0351009507922156,1.79280971058522
25,0.0351075078334792,1.79708606899092
26,0.035114099735717,1.80134107352159
27,0.03512070948968,1.80557584070025
28,0.0351273266371662,1.80979133708208
29,0.0351339454559123,1.81398840033912
30,0.0351405635855164,1.81816775777203
31,0.0351471809943606,1.82233004262062
32,0.0351537992071543,1.82647580778787
33,0.035160420732256,1.83060553793354
34,0.0351670486417259,1.83471965951093
35,0.0351736862675067,1.83881854934623
36,0.0351803369855982,1.84290254197625
37,0.0351870040670231,1.8469719357421
38,0.035193690577673,1.85102699798606
39,0.0352003993160201,1.855067969475
40,0.0352071327773814,1.85909506805715
41,0.0352138931379373,1.86310849182935
42,0.0352206822529619,1.8671084217841
43,0.0352275016645569,1.87109502405296
44,0.0352343526160803,1.87506845181676
45,0.0352412360706322,1.87902884693996
46,0.0352481527319263,1.88297634137256
47,0.0352551030663957,1.88691105831377
48,0.0352620873253598,1.89083311324917
49,0.0352691055668162,1.89474261482706
50,0.0352761576764003,1.89863966559549
