"Time","BUB1a","pKNL1","pKNL1_bub1a","BUB1a_pknl1"
0,4.8386949845387,0,0,0
1,3.17411394802977,0,0,4.33677686766708e-26
2,3.10650456150973,0,0,2.83649349788696e-19
3,3.10639421927014,0,0,5.08881190224928e-16
4,3.10638969695191,0,0,4.68196736817391e-14
5,3.10638313695625,0,0,9.7828691842699e-13
6,3.10637373166252,0,0,8.57951108695235e-12
7,3.10636275178289,0,0,4.29773496620338e-11
8,3.10635133240268,0,0,1.46422674874312e-10
9,3.10634019268725,0,0,3.77756127599841e-10
10,3.10632971353488,0,0,7.91627215112395e-10
11,3.10632005723096,0,0,1.41376740463394e-09
12,3.10631125961464,0,0,2.2262311856189e-09
13,3.10630328662962,0,0,3.16886307708401e-09
14,3.10629607397139,0,0,4.15410251161658e-09
15,3.10628954365414,0,0,5.08735878281293e-09
16,3.10628361959052,0,0,5.88553626867163e-09
17,3.10627822892817,0,0,6.48921389175422e-09
18,3.10627330563483,0,0,6.86742147098337e-09
19,3.10626879203931,0,0,7.01620910380204e-09
20,3.10626463844389,0,0,6.95326222596637e-09
21,3.1062608012048,0,0,6.71082904439701e-09
22,3.10625724269183,0,0,6.32874236386372e-09
23,3.10625393176604,0,0,5.84849922529209e-09
24,3.10625084095611,0,0,5.30900872966127e-09
25,3.10624794589914,0,0,4.74391648760416e-09
26,3.10624522770619,0,0,4.18032736825852e-09
27,3.10624266755777,0,0,3.63857471579579e-09
28,3.10624025071615,0,0,3.13269273041359e-09
29,3.106237964093,0,0,2.67128660569279e-09
30,3.10623579663927,0,0,2.25857247212313e-09
31,3.10623373700043,0,0,1.89542228866054e-09
32,3.10623177666128,0,0,1.58031674243777e-09
33,3.10622990879932,0,0,1.31015486822979e-09
34,3.10622812437508,0,0,1.08090343880399e-09
35,3.10622641865396,0,0,8.88091749378709e-10
36,3.10622478530732,0,0,7.27168653660513e-10
37,3.1062232194859,0,0,5.93744990100684e-10
38,3.10622171660782,0,0,4.83745658035267e-10
39,3.1062202729833,0,0,3.93492559842341e-10
40,3.10621888397725,0,0,3.19738265882277e-10
41,3.10621754683222,0,0,2.59665893616524e-10
42,3.10621625854039,0,0,2.10866901248098e-10
43,3.10621501615578,0,0,1.71306491609054e-10
44,3.10621381649615,0,0,1.39282735708548e-10
45,3.10621265755518,0,0,1.13384078659403e-10
46,3.10621153824895,0,0,9.24481399773741e-11
47,3.10621045378743,0,0,7.55234122377287e-11
48,3.10620940626581,0,0,6.18349438301418e-11
49,3.10620839099457,0,0,5.07542002190646e-11
50,3.10620740551881,0,0,4.17731370042146e-11
