"Time","pH2A","pH2A_SGO1","pH2A_SGO1_CPCa"
0,0,0,0
1,15.7259326749143,19.8555362829268,0.984805904816608
2,26.0301775343888,18.4215118608473,1.19860580938424
3,30.2881521467784,16.8575054207522,1.30630159073087
4,32.8060332266475,15.468930687735,1.35111916085251
5,34.5155735251346,14.2774545966009,1.35788425464889
6,35.7433175033759,13.2655208888349,1.3424755870099
7,36.6501383936391,12.4076016749143,1.31487345343359
8,37.330481708166,11.6792082469709,1.28122616523844
9,37.8454190604113,11.0591715742522,1.24523738549982
10,38.236780763726,10.52978624704,1.20909746463741
11,38.5343043564077,10.0763936275345,1.17406737319307
12,38.7596855494789,9.68687927246841,1.14083753560268
13,38.92906676327,9.35121118830814,1.1097484073161
14,39.0546370820537,9.06106265685255,1.08092696448527
15,39.1457169383462,8.80949815733163,1.05437155672591
16,39.2095058294469,8.59072411492823,1.03000511284597
17,39.2516146631582,8.39988614875818,1.00770852436565
18,39.276449043907,8.23290627714333,0.987341606681813
19,39.2874911520582,8.08635014795445,0.96875617005035
20,39.2875089745002,7.95731908202448,0.951804079537652
21,39.2787140173059,7.84336138072518,0.936342102650128
22,39.2628820266696,7.74239738782325,0.92223446892503
23,39.2414428927659,7.65266231817151,0.909354604590383
24,39.2155530773594,7.57265381746989,0.897585493069295
25,39.1861504451937,7.50109094712352,0.886819782535751
26,39.1539976073087,7.43687938626226,0.876959503986736
27,39.1197160185374,7.37908245284047,0.867915607588768
28,39.0838130470747,7.32689676895658,0.859607388185656
29,39.0467034590256,7.27963197431958,0.851961877569822
30,39.0087266835772,7.23669355893131,0.844913212560073
31,38.9701606307563,7.19756850457557,0.838402025340283
32,38.9312328397962,7.16181318705554,0.832374860473644
33,38.8921295084078,7.12904315591205,0.826783624001637
34,38.8530028236491,7.09892450473197,0.821585071618987
35,38.813976923957,7.07116659480467,0.816740339422228
36,38.775152778613,7.04551587352104,0.812214511217423
37,38.7366121841494,7.02175063545696,0.807976224309923
38,38.6984210391298,6.99967659448887,0.803997314309411
39,38.660632052295,6.9791230926211,0.800252489682377
40,38.6232869708152,6.95993988507119,0.796719039573022
41,38.5864184247101,6.94199440333952,0.793376571031144
42,38.5500514594362,6.92516940353852,0.790206770335718
43,38.5142048058906,6.90936096697986,0.787193190182188
44,38.478891940305,6.89447677932257,0.784321057324285
45,38.4441219666644,6.88043465531268,0.781577100209412
46,38.4099003551764,6.86716127190692,0.778949394567821
47,38.3762295595212,6.85459107226129,0.776427224171914
48,38.3431095355751,6.84266532339368,0.774000956739046
49,38.3105381744615,6.831331300628,0.771661932362166
50,38.2785116691575,6.82054157874695,0.769402363394569
