"Time","bound_CPC"
0,0
1,5.22141864271002
2,5.66725794183453
3,6.17431617851224
4,6.68740360783451
5,7.14606408921359
6,7.52879955459227
7,7.83769504140205
8,8.08344540636573
9,8.27809787763528
10,8.43255033751142
11,8.5558829452233
12,8.65536597214138
13,8.73669850582808
14,8.80429096957628
15,8.86153071098018
16,8.91100472081011
17,8.95468023598687
18,8.99404671942145
19,9.03022675123347
20,9.06406178159089
21,9.09617844935117
22,9.12703977924453
23,9.15698409301618
24,9.18625552616853
25,9.21502715213881
26,9.2434188042576
27,9.27151071521372
28,9.29935394663451
29,9.32697832839474
30,9.35439849025841
31,9.38161841239951
32,9.40863484184611
33,9.43543983817987
34,9.4620226497294
35,9.48837108163494
36,9.51447247558398
37,9.54031439585996
38,9.56588509707646
39,9.59117382476853
40,9.61617099620178
41,9.64086829210613
42,9.66525868389255
43,9.68933641692715
44,9.71309696221505
45,9.73653694880472
46,9.75965408353712
47,9.78244706435767
48,9.80491549174688
49,9.8270597805225
50,9.84888107442814
