"Time","HASPINi","PLK1i"
0,0,17.4338815435254
1,0,9.01207326843504
2,0,4.64853644784761
3,0,2.78726973214552
4,0,2.08736570394202
5,0,1.84068235970804
6,0,1.75764547498338
7,0,1.73203768754401
8,0,1.7263909775825
9,0,1.72764253376047
10,0,1.73124754944614
11,0,1.73562430690698
12,0,1.74022348161274
13,0,1.74485661867013
14,0,1.74946182859988
15,0,1.75402156837849
16,0,1.75853363427996
17,0,1.76300085498966
18,0,1.76742741482783
19,0,1.77181755317257
20,0,1.7761751281051
21,0,1.78050349850306
22,0,1.78480553051498
23,0,1.78908363337739
24,0,1.79333982049338
25,0,1.79757576539517
26,0,1.80179285463136
27,0,1.80599223419651
28,0,1.81017485034684
29,0,1.81434148410728
30,0,1.81849278039291
31,0,1.82262927242524
32,0,1.82675140187704
33,0,1.8308595358191
34,0,1.8349539802149
35,0,1.8390349914999
36,0,1.84310278559976
37,0,1.84715754577654
38,0,1.85119942854602
39,0,1.85522856893201
40,0,1.85924508441149
41,0,1.86324907834924
42,0,1.86724064261134
43,0,1.87121985991509
44,0,1.87518680536458
45,0,1.87914154819513
46,0,1.88308415280822
47,0,1.88701467946856
48,0,1.89093318568221
49,0,1.89483972605224
50,0,1.89873435324425
