"Time","pH3S10rep"
0,0
1,16.4506349278713
2,32.5926803505229
3,46.0157410966711
4,56.827227854756
5,65.2000543355789
6,71.3963523420429
7,75.7572558140423
8,78.6636064419579
9,80.4837243758128
10,81.5324809929084
11,82.0544567033277
12,82.2273154123141
13,82.174842294796
14,81.9812751796903
15,81.7033013686742
16,81.378859214377
17,81.0332370930977
18,80.6831711215469
19,80.3395839241848
20,80.0094178004554
21,79.6968760144325
22,79.4042678757593
23,79.1326002193774
24,78.8819875897648
25,78.6519444031112
26,78.4415927970972
27,78.2498112261603
28,78.0753404967942
29,77.9168592808007
30,77.7730369673369
31,77.6425702126603
32,77.5242074368131
33,77.4167643934708
34,77.3191332657226
35,77.2302871424221
36,77.1492810599828
37,77.0752506965066
38,77.0074095411276
39,76.945044914881
40,76.88751340668
41,76.8342360118037
42,76.7846930982147
43,76.738419478559
44,76.6949996073119
45,76.6540630118774
46,76.6152800085088
47,76.5783576881899
48,76.5430362341261
49,76.5090855274822
50,76.476302051916
