"Time","CPCa","pH2A_SGO1_CPCa","H3_CPCa","pH3_CPCa","SGO1_CPCa","Sum_Active"
0,3.55350775401979,0,0,0,0,3.55350775401979
1,0.0106365188042171,0.984805904816608,1.90469281948632,0.22408873585301,0.00828930300720092,3.13251328196736
2,0.0097718955671008,1.19860580938424,1.38477951602003,0.790555610152645,0.00385815010456991,3.38757098122858
3,0.0090136895198362,1.30630159073087,0.931346699639606,1.42807473991817,0.00335884419027208,3.67809556399876
4,0.00839458670591866,1.35111916085251,0.628912482915616,1.97955629516501,0.0031451678081173,3.97112769344717
5,0.00790752201798643,1.35788425464889,0.44588728577322,2.41622263729876,0.00301434034992608,4.23091604008879
6,0.00753263595976806,1.3424755870099,0.335393804431769,2.7566787661623,0.00291698229522979,4.44499777585896
7,0.00724798196220095,1.31487345343359,0.267098227142045,3.02281174430993,0.00283654217366811,4.61486794902144
8,0.00703114907929061,1.28122616523844,0.223555735757125,3.23246543394322,0.00276644346592876,4.747044927484
9,0.00686410225993993,1.24523738549982,0.194833665700376,3.39914482980723,0.00270366802870486,4.84878365129606
10,0.00673367838681825,1.20909746463741,0.175214995139056,3.53292165785157,0.00264664613450383,4.92661444214936
11,0.00663046154191373,1.17406737319307,0.161349354171186,3.64132131891352,0.00259446124207385,4.98596296906177
12,0.00654771260504167,1.14083753560268,0.151229849626596,3.73000392095432,0.00254651595585708,5.0311655347445
13,0.00648056232303962,1.1097484073161,0.143624140242975,3.80326164791421,0.00250237984163087,5.06561713763796
14,0.00642544742796883,1.08092696448527,0.137755469736773,3.86437326539276,0.00246171577549359,5.09194286281827
15,0.00637972146111194,1.05437155672591,0.133120530333195,3.91586158879374,0.00242424197143299,5.11215763928539
16,0.00634139052701271,1.03000511284597,0.129384135366997,3.95967929378506,0.00238971180064084,5.12779964432568
17,0.00630893164580422,1.00770852436565,0.12631696512176,3.99734587417072,0.00235790265560133,5.14003819795954
18,0.0062811672970542,0.987341606681813,0.123758115422771,4.0300489445179,0.00232860962897311,5.14975844354851
19,0.00625717720048097,0.96875617005035,0.12159200927304,4.05872041404341,0.00230164197438539,5.15762741254167
20,0.00623623550645362,0.951804079537652,0.119733860681698,4.08409407658232,0.00227682106228828,5.16414507337042
21,0.00621776514992865,0.936342102650128,0.118120290046535,4.10674965376325,0.00225397921876461,5.16968379082861
22,0.0062013039512163,0.92223446892503,0.116703114033232,4.1271469208728,0.00223295878798976,5.17451876657027
23,0.00618648020147166,0.909354604590383,0.115445206784834,4.14565127773519,0.00221361203954673,5.17885118135142
24,0.00617299306522579,0.897585493069295,0.114317578585712,4.16255445927422,0.00219580059598186,5.18282632459043
25,0.00616059824070112,0.886819782535751,0.113297353618912,4.17809020388286,0.00217939519811679,5.18654733347634
26,0.00614909659796209,0.876959503986736,0.112366308360136,4.19244659220747,0.00216427540879269,5.19008577656109
27,0.00613832534898595,0.867915607588768,0.111509805215082,4.20577568286835,0.00215032933079643,5.19348975035199
28,0.00612815107036386,0.859607388185656,0.110716000013,4.21820107507513,0.00213745325371356,5.19679006759786
29,0.00611846418086216,0.851961877569822,0.109975247173924,4.22982382521592,0.00212555131335168,5.20000496545388
30,0.00610917452255661,0.844913212560073,0.10927964463113,4.24072711348589,0.00211453511575236,5.2031436803154
31,0.00610020778670285,0.838402025340283,0.108622684398919,4.25097990210558,0.00210432331821617,5.2062091429497
32,0.00609150268918843,0.832374860473644,0.107998980513184,4.26063981551297,0.00209484126481369,5.2092000004538
33,0.00608300862762797,0.826783624001637,0.107404055326211,4.26975541285103,0.00208602052103559,5.21211212132755
34,0.00607468382200178,0.821585071618987,0.106834170548681,4.2783679792798,0.00207779852573577,5.21493970379521
35,0.00606649375209226,0.816740339422228,0.106286192860494,4.28651293857949,0.00207011814606107,5.21767608276037
36,0.00605840993063377,0.812214511217423,0.105757486005532,4.29422097249939,0.00206292731176654,5.22031430696474
37,0.0060504088528402,0.807976224309923,0.105245823910458,4.30151890662502,0.00205617860536478,5.22284754230361
38,0.00604247117274473,0.803997314309411,0.104749320429172,4.30843041123847,0.00204982894627777,5.22526934609607
39,0.00603458098522663,0.800252489682377,0.104266371960755,4.31497656090444,0.00204383921460581,5.2275738427474
40,0.00602672526466972,0.796719039573022,0.103795610658518,4.32117627936062,0.00203817393071478,5.22975582878755
41,0.00601889338628336,0.793376571031144,0.103335866063752,4.32704669400663,0.00203280096923061,5.23181082545704
42,0.00601107672435046,0.790206770335718,0.102886133398799,4.33260342179361,0.00202769124529489,5.23373509349777
43,0.00600326833092977,0.787193190182188,0.102445547434762,4.33786079774227,0.00202281848379619,5.23552562217394
44,0.00599546266837534,0.784321057324285,0.102013360779231,4.34283206021902,0.00201815893694355,5.23718009992785
45,0.00598765535380941,0.781577100209412,0.101588925814982,4.34752950125499,0.00201369118410536,5.2386968738173
46,0.00597984299771779,0.778949394567821,0.10117167964162,4.35196458866016,0.00200939591039588,5.24007490177771
47,0.00597202303779604,0.776427224171914,0.100761131437354,4.35614806691747,0.00200525570783528,5.24131370127237
48,0.00596419359554503,0.774000956739046,0.100356851891842,4.36009003977596,0.00200125492132789,5.24241329692372
49,0.0059563533590287,0.771661932362166,0.0999584642904267,4.36380003918891,0.00199737944930375,5.24337416864984
50,0.00594850150524403,0.769402363394569,0.0995656369937744,4.3672870829853,0.00199361662689041,5.24419720150578
