"Time","pH2A_SGO1_CPCi"
0,0
1,0.662169657217708
2,0.81241382424527
3,0.892042716443
4,0.929123733522272
5,0.939993338995428
6,0.935289632055449
7,0.921807900800367
8,0.903795211579787
9,0.883845258480828
10,0.863514347955378
11,0.843714274978386
12,0.824957016005037
13,0.807506859012064
14,0.791475427472283
15,0.776881270745579
16,0.763687497529406
17,0.751825556028442
18,0.741210263574705
19,0.731749248648944
20,0.723348823811687
21,0.715917561288227
22,0.709368238122575
23,0.703619155272184
24,0.698594499103791
25,0.694224497989128
26,0.69044529907227
27,0.687198709321672
28,0.684431853012608
29,0.682096800196807
30,0.680150174325794
31,0.678552770929753
32,0.677269191277811
33,0.676267495133761
34,0.675518877395477
35,0.674997371364428
36,0.674679574674757
37,0.674544399333222
38,0.674572846330669
39,0.674747798766606
40,0.675053835835484
41,0.675477065365884
42,0.676004971290603
43,0.676626277437918
44,0.677330824096153
45,0.678109457087172
46,0.678953928164337
47,0.679856804846833
48,0.68081138985613
49,0.681811648373424
50,0.682852142562567
