"Time","pH2A_SGO1_CPCi"
0,0
1,0.151867168604045
2,0.205512716561868
3,0.251153351262666
4,0.290787935256141
5,0.324764493686393
6,0.353590172020703
7,0.377888339050542
8,0.398311841641333
9,0.415471274948726
10,0.429907547566111
11,0.442086380991568
12,0.452402036956562
13,0.461184920535307
14,0.468709912112082
15,0.475204705197461
16,0.480857237398421
17,0.48582224489468
18,0.490226834272786
19,0.494175210784342
20,0.497752633141365
21,0.501028724583484
22,0.504060260640134
23,0.506893387145749
24,0.509565562209464
25,0.512107107358669
26,0.51454250180596
27,0.516891447774215
28,0.519169749829612
29,0.521390036329543
30,0.523562354771463
31,0.525694659138965
32,0.52779320967231
33,0.52986290070584
34,0.53190752853955
35,0.533930010158711
36,0.535932561777455
37,0.53791684402313
38,0.539884079844223
39,0.54183515005875
40,0.543770670671232
41,0.545691054942343
42,0.547596563359289
43,0.549487343479686
44,0.551363461543968
45,0.553224927566341
46,0.555071714818536
47,0.556903775053743
48,0.558721050155315
49,0.560523480893116
50,0.56231101339878
