"Time","bound_active_CPC"
0,0
1,3.40775506776018
2,3.37977443652691
3,3.30092738526939
4,3.19809160820223
5,3.08361932688343
6,2.9660672524777
7,2.85147964963788
8,2.74378521721389
9,2.64514844967814
10,2.55645668540816
11,2.47775486795954
12,2.40857629496627
13,2.34817492511395
14,2.29568107934378
15,2.25019886121232
16,2.21086446089904
17,2.17687755487448
18,2.14751580244534
19,2.12213870405957
20,2.10018536659978
21,2.08116888930739
22,2.06466882705567
23,2.05032419744672
24,2.0378255663827
25,2.02690823848219
26,2.01734598235595
27,2.00894550203342
28,2.0015416004238
29,1.99499302902754
30,1.98917890429045
31,1.98399566801062
32,1.97935450361322
33,1.97517914134342
34,1.97140400073431
35,1.96797262264756
36,1.96483633823517
37,1.96195314308213
38,1.95928674677951
39,1.9568057621994
40,1.95448301902794
41,1.95229498078869
42,1.95022124573468
43,1.94824412259931
44,1.94634826674325
45,1.94452036847467
46,1.94274888568115
47,1.94102381307019
48,1.93933648384569
49,1.93767939800589
50,1.93604607370033
