"Time","bound_CPC"
0,0
1,5.88798867513643
2,5.87610828545226
3,5.8212049199012
4,5.72845147509753
5,5.61036332834618
6,5.48034219498674
7,5.35058336764879
8,5.22988564458074
9,5.12290461453473
10,5.03124365872816
11,4.95465111860577
12,4.89189022874605
13,4.84129522062809
14,4.80110113522817
15,4.76962186929649
16,4.74533650744142
17,4.72692074063506
18,4.71324849640031
19,4.70337802560607
20,4.69653136711877
21,4.69207182331471
22,4.6894819138075
23,4.68834409608172
24,4.68832298611517
25,4.6891506038746
26,4.69061384311029
27,4.69254406651857
28,4.69480851319921
29,4.69730327849193
30,4.69994757228776
31,4.70267907190367
32,4.70545016172227
33,4.70822489592177
34,4.71097655636558
35,4.71368569248128
36,4.71633854931205
37,4.71892580974617
38,4.72144159380306
39,4.72388265854534
40,4.72624776487055
41,4.72853717542321
42,4.73075225810858
43,4.73289517526737
44,4.73496863967338
45,4.73697572528269
46,4.7389197210221
47,4.74080401894046
48,4.74263202978151
49,4.74440711984217
50,4.7461325649606
