"Time","pH3_CPCi"
0,0
1,0.150634660535679
2,0.535604573689801
3,0.974799170800966
4,1.36086935920386
5,1.67231333695304
6,1.92034372618429
7,2.11899040289996
8,2.27990437801544
9,2.41199604110632
10,2.52195749166973
11,2.61481388423744
12,2.69435810818776
13,2.76347339142404
14,2.82436574812859
15,2.87873422388551
16,2.92789449832118
17,2.97287041759624
18,3.01446193359604
19,3.05329632800365
20,3.08986701936547
21,3.12456328663077
22,3.15769334032235
23,3.18950160875116
24,3.22018276434627
25,3.24989233584291
26,3.27875506912397
27,3.30687145769512
28,3.33432286790924
29,3.36117554801043
30,3.38748378837223
31,3.41329239720864
32,3.43863864773349
33,3.46355381260237
34,3.48806437124888
35,3.51219296026654
36,3.5359591245692
37,3.55937991023437
38,3.58247033213596
39,3.60524374572929
40,3.62771214155398
41,3.64988637875475
42,3.67177637237874
43,3.69339124230245
44,3.71473943313979
45,3.73582881096807
46,3.75666674123661
47,3.7772601526751
48,3.79761558927037
49,3.81773925315136
50,3.83763704029445
