"Time","HASPINa","PLK1a"
0,0,1.9370979492806
1,9.91925880534689,10.3584046980936
2,9.93840867688473,14.7221862835161
3,9.94335185774685,16.583684580152
4,9.94499966789945,17.283788316995
5,9.94561037729192,17.5306570544698
6,9.94586257176136,17.6138699012426
7,9.94598147435883,17.6396329910255
8,9.94604567276622,17.6454049395848
9,9.94608409991922,17.6442453950573
10,9.94610835171707,17.6407006563737
11,9.94612371135784,17.6363563502932
12,9.94613299044988,17.6317665645029
13,9.94613791412589,17.6271244990837
14,9.94613965105375,17.6224963485426
15,9.9461390391651,17.6179033602384
16,9.9461366961044,17.6133508156741
17,9.94613308262669,17.608838379137
18,9.94612854362172,17.6043638433773
19,9.94612333699591,17.5999245073012
20,9.94611765484973,17.5955176868138
21,9.94611163940518,17.5911409001324
22,9.94610539509905,17.5867919194403
23,9.94609899771744,17.5824687845372
24,9.94609250148933,17.5781697822191
25,9.94608594444806,17.573893423814
26,9.94607935254583,17.569638419287
27,9.94607274279186,17.5654036521076
28,9.94606612564438,17.5611881557252
29,9.94605950682563,17.5569910924681
30,9.94605288869603,17.5528117350306
31,9.94604627128718,17.5486494501859
32,9.94603965307439,17.5445036850156
33,9.94603303154929,17.5403739548757
34,9.94602640363981,17.5362598332939
35,9.94601976601403,17.5321609434568
36,9.94601311529594,17.528076950826
37,9.94600644821452,17.5240075570651
38,9.94599976170387,17.5199524948156
39,9.94599305296552,17.515911523334
40,9.94598631950416,17.5118844247448
41,9.9459795591436,17.507871000975
42,9.94597277002858,17.5038710710147
43,9.94596595061698,17.4998844687543
44,9.94595909966546,17.4959110409906
45,9.94595221621091,17.4919506458686
46,9.94594529954962,17.4880031514351
47,9.94593834921515,17.4840684344916
48,9.94593136495618,17.4801463795569
49,9.94592434671472,17.4762368779814
50,9.94591729460514,17.4723398272129
