"Time","pH2A","pH2A_SGO1","pH2A_SGO1_CPCa","pH2A_SGO1_CPCi"
0,0,0,0,0
1,15.7259326749143,19.8555362829268,0.984805904816608,0.662169657217708
2,26.0301775343888,18.4215118608473,1.19860580938424,0.81241382424527
3,30.2881521467784,16.8575054207522,1.30630159073087,0.892042716443
4,32.8060332266475,15.468930687735,1.35111916085251,0.929123733522272
5,34.5155735251346,14.2774545966009,1.35788425464889,0.939993338995428
6,35.7433175033759,13.2655208888349,1.3424755870099,0.935289632055449
7,36.6501383936391,12.4076016749143,1.31487345343359,0.921807900800367
8,37.330481708166,11.6792082469709,1.28122616523844,0.903795211579787
9,37.8454190604113,11.0591715742522,1.24523738549982,0.883845258480828
10,38.236780763726,10.52978624704,1.20909746463741,0.863514347955378
11,38.5343043564077,10.0763936275345,1.17406737319307,0.843714274978386
12,38.7596855494789,9.68687927246841,1.14083753560268,0.824957016005037
13,38.92906676327,9.35121118830814,1.1097484073161,0.807506859012064
14,39.0546370820537,9.06106265685255,1.08092696448527,0.791475427472283
15,39.1457169383462,8.80949815733163,1.05437155672591,0.776881270745579
16,39.2095058294469,8.59072411492823,1.03000511284597,0.763687497529406
17,39.2516146631582,8.39988614875818,1.00770852436565,0.751825556028442
18,39.276449043907,8.23290627714333,0.987341606681813,0.741210263574705
19,39.2874911520582,8.08635014795445,0.96875617005035,0.731749248648944
20,39.2875089745002,7.95731908202448,0.951804079537652,0.723348823811687
21,39.2787140173059,7.84336138072518,0.936342102650128,0.715917561288227
22,39.2628820266696,7.74239738782325,0.92223446892503,0.709368238122575
23,39.2414428927659,7.65266231817151,0.909354604590383,0.703619155272184
24,39.2155530773594,7.57265381746989,0.897585493069295,0.698594499103791
25,39.1861504451937,7.50109094712352,0.886819782535751,0.694224497989128
26,39.1539976073087,7.43687938626226,0.876959503986736,0.69044529907227
27,39.1197160185374,7.37908245284047,0.867915607588768,0.687198709321672
28,39.0838130470747,7.32689676895658,0.859607388185656,0.684431853012608
29,39.0467034590256,7.27963197431958,0.851961877569822,0.682096800196807
30,39.0087266835772,7.23669355893131,0.844913212560073,0.680150174325794
31,38.9701606307563,7.19756850457557,0.838402025340283,0.678552770929753
32,38.9312328397962,7.16181318705554,0.832374860473644,0.677269191277811
33,38.8921295084078,7.12904315591205,0.826783624001637,0.676267495133761
34,38.8530028236491,7.09892450473197,0.821585071618987,0.675518877395477
35,38.813976923957,7.07116659480467,0.816740339422228,0.674997371364428
36,38.775152778613,7.04551587352104,0.812214511217423,0.674679574674757
37,38.7366121841494,7.02175063545696,0.807976224309923,0.674544399333222
38,38.6984210391298,6.99967659448887,0.803997314309411,0.674572846330669
39,38.660632052295,6.9791230926211,0.800252489682377,0.674747798766606
40,38.6232869708152,6.95993988507119,0.796719039573022,0.675053835835484
41,38.5864184247101,6.94199440333952,0.793376571031144,0.675477065365884
42,38.5500514594362,6.92516940353852,0.790206770335718,0.676004971290603
43,38.5142048058906,6.90936096697986,0.787193190182188,0.676626277437918
44,38.478891940305,6.89447677932257,0.784321057324285,0.677330824096153
45,38.4441219666644,6.88043465531268,0.781577100209412,0.678109457087172
46,38.4099003551764,6.86716127190692,0.778949394567821,0.678953928164337
47,38.3762295595212,6.85459107226129,0.776427224171914,0.679856804846833
48,38.3431095355751,6.84266532339368,0.774000956739046,0.68081138985613
49,38.3105381744615,6.831331300628,0.771661932362166,0.681811648373424
50,38.2785116691575,6.82054157874695,0.769402363394569,0.682852142562567
