"Time","pH3","pH3_CPCa","pH3_CPCi"
0,0,0,0
1,8.63899986877914e-18,1.7612535266119e-19,1.18392661523832e-19
2,6.26670138360056e-13,2.35090705762819e-14,1.59249414762905e-14
3,1.51898901086834e-10,8.00587170569264e-12,5.46459717373682e-12
4,4.5466914365037e-09,2.99256069222658e-10,2.05827746891441e-10
5,4.78873676005226e-08,3.68391938896147e-09,2.55335939721556e-09
6,2.74267589549648e-07,2.36403385804759e-08,1.65134584499008e-08
7,1.06215509271444e-06,9.96511074752411e-08,7.01604874664331e-08
8,3.14422820422037e-06,3.14507992394251e-07,2.23206345761568e-07
9,7.66779345991868e-06,8.05380191416652e-07,5.7619374993729e-07
10,1.61718251998066e-05,1.76339400648595e-06,1.2718207262269e-06
11,3.04887730543891e-05,3.42159649533691e-06,2.48781249349672e-06
12,5.25976540680164e-05,6.03489498932071e-06,4.42345690944268e-06
13,8.44591439983424e-05,9.85683258785222e-06,7.2830350527647e-06
14,0.000127859788943823,1.51176109400859e-05,1.12592924598069e-05
15,0.00018428196366142,2.20060967088674e-05,1.65190720607143e-05
16,0.00025481041351231,3.06573861339524e-05,2.3192498255395e-05
17,0.000340077801520391,4.11461360210454e-05,3.13661483498132e-05
18,0.000440246319309081,5.34850331919962e-05,4.10799860801456e-05
19,0.000555020240841228,6.76274663919798e-05,5.23275726848064e-05
20,0.000683682534535615,8.34732860997071e-05,6.50588573908571e-05
21,0.000825148629371303,0.000100876602181187,7.91848578973062e-05
22,0.000978028227252762,0.000119654384225335,9.45832783041131e-05
23,0.00114069651642813,0.000139595977991929,0.000111105250542487
24,0.00131136066500532,0.000160471791737409,0.000128581713622442
25,0.00148812554479009,0.000182041665187328,0.000146829863204513
26,0.00166905317395545,0.000204062280396422,0.000165659093635764
27,0.00185221518462407,0.000226293574124061,0.000184876351148299
28,0.00203573723057524,0.000248504059154479,0.00020429077404368
29,0.00221783561643093,0.000270475125740855,0.000223717630887321
30,0.00239684571968487,0.000292004299455449,0.000242981493755951
31,0.00257124326275865,0.000312907607724003,0.000261918734990628
32,0.00273965892935595,0.000333021131324521,0.000280379380002554
33,0.00290088703521373,0.000352201838925918,0.000298228370822778
34,0.00305388916898301,0.000370327823556473,0.000315346319213807
35,0.00319779368143257,0.000387298051682391,0.000331629827822177
36,0.00333189166474606,0.000403031705564869,0.000346991433254563
37,0.0034556302395333,0.000417467218600215,0.000361359247934035
38,0.0035686038260445,0.000430561084784818,0.000374676366283643
39,0.00367054386229778,0.000442286498666994,0.000386900075986299
40,0.00376130756660885,0.00045263189601645,0.000398000936390412
41,0.00384086612172827,0.000461599439446512,0.000407961762563268
42,0.00390929262399556,0.000469203490055252,0.000416776548679497
43,0.00396675009426025,0.000475469098457575,0.000424449365751067
44,0.00401347976850221,0.000480430541099849,0.000430993256245172
45,0.00404978984811159,0.000484129922061327,0.000436429147628469
46,0.00407604481933106,0.000486615852307157,0.000440784799238773
47,0.00409265547634134,0.000487942222166887,0.000444093798225151
48,0.00410006965035296,0.000488167065659437,0.000446394609302738
49,0.00409876372380298,0.000487351525938257,0.000447729688171186
50,0.00408923492540962,0.000485558920322749,0.000448144661461439
