"Time","pH3_CPCi"
0,0
1,6.17422637162581e-09
2,2.51037916442483e-06
3,4.22778464693477e-05
4,0.000230193498585343
5,0.000723146475146045
6,0.00165746617542874
7,0.00311086434032772
8,0.00509813753683352
9,0.00758366959385671
10,0.0104976927619543
11,0.0137506906891627
12,0.017244793123647
13,0.0208823618152493
14,0.0245721614957298
15,0.0282332969884167
16,0.0317973084407595
17,0.0352087918442919
18,0.0384250070210228
19,0.0414148297136361
20,0.0441573600518664
21,0.0466403876449996
22,0.0488589203290598
23,0.0508137291286998
24,0.0525101255223874
25,0.0539568644183883
26,0.0551652225625367
27,0.056148232747794
28,0.0569200600477069
29,0.0574954988983195
30,0.0578895782842444
31,0.0581172541232575
32,0.0581931750772572
33,0.0581315095133885
34,0.0579458215854039
35,0.0576489858845663
36,0.0572531344510608
37,0.0567696284725543
38,0.0562090481704453
39,0.0555811987927697
40,0.0548951271391073
41,0.0541591458161243
42,0.0533808642436028
43,0.0525672227813527
44,0.0517245297639212
45,0.0508584997451355
46,0.0499742919268667
47,0.0490765486916445
48,0.0481694329087655
49,0.0472566642782522
50,0.0463415541648082
