"Time","bound_CPC"
0,0
1,5.69693968901592
2,5.66636017039842
3,5.55070826020573
4,5.3943633086957
5,5.21772673629788
6,5.03502192818401
7,4.85637594185444
8,4.6884368463905
9,4.53492692288759
10,4.39743746105679
11,4.27614532825633
12,4.17036102909603
13,4.07891539950718
14,4.00041995609582
15,3.93343079415599
16,3.87654746427183
17,3.8284669830225
18,3.78800950729965
19,3.75412608015531
20,3.72589601116475
21,3.70251843202065
22,3.68330048200722
23,3.66764623807478
24,3.6550440070132
25,3.64505535129421
26,3.63730492936782
27,3.63147151615096
28,3.62728012702348
29,3.62449524577875
30,3.62291496590226
31,3.62236601401131
32,3.62269951370849
33,3.62378738242437
34,3.62551927845674
35,3.62780002109504
36,3.63054739827909
37,3.63369031015172
38,3.63716720042053
39,3.64092471684258
40,3.64491657567043
41,3.6491025964291
42,3.65344787442869
43,3.6579220765633
44,3.66249883664903
45,3.66715523659139
46,3.67187136081214
47,3.67662991096382
48,3.68141587434103
49,3.68621623619616
50,3.69101973025087
