"Time","pNDC80","pNDC80_TTKi","pNDC80_pTTKi","pNDC80_TTKa","pNDC80_pTTKa"
0,0,0,0,0,0
1,19.1550766559101,0.00366699624132367,5.70836825003732,0.00309159636883353,6.25054084406815
2,40.8842343558715,0.00164039521220397,2.41325317951951,0.0108221941758358,21.5920470161481
3,58.7830124690284,0.000616031176318795,0.939099851095462,0.016302528475032,32.0605749905233
4,73.6103991713307,0.000459715730882582,0.726732570665198,0.0201935748199552,39.3322788407594
5,86.028574953052,0.000458575420371796,0.720973808004582,0.0233394711879542,44.948254562147
6,96.2970548445502,0.000473182237906685,0.73427922351521,0.0259208425264395,49.3695505431386
7,104.649507092301,0.00048598973120652,0.745280847615686,0.0280099906401858,52.8363749614608
8,111.331053203663,0.000495855328941454,0.753172396160821,0.0296731654785384,55.5311457405451
9,116.584268045356,0.000503290147518438,0.758771935758865,0.0309755798919295,57.6029092775588
10,120.636511061885,0.000508828008651983,0.762732854727717,0.0319775685656369,59.1737790619561
11,123.692823440997,0.000512892610630015,0.76550307621478,0.0327325194305549,60.3433683752148
12,125.933077125524,0.000515811015986993,0.767392894211775,0.0332864006254301,61.1926585642588
13,127.511950819633,0.000517836323030755,0.768622915964289,0.0336781212037284,61.787366117739
14,128.560369466159,0.000519165547504082,0.769353834524962,0.0339402077408456,62.1807265437359
15,129.187858000798,0.000519953466173269,0.769705267989116,0.034099617419971,62.4158315057214
16,129.485134977777,0.000520322256925537,0.769767899331937,0.034178529788207,62.5275193820214
17,129.526736509166,0.00052036902768822,0.769611546090226,0.0341950854058941,62.5439229461281
18,129.373453201772,0.00052017112677774,0.769290618131908,0.034164038087823,62.4877180654052
19,129.074531516972,0.000519790385005997,0.768847914676919,0.0340973230419519,62.3771395464315
20,128.669597129161,0.000519276178144967,0.768317313251528,0.0340045410831495,62.2268036979399
21,128.190316902619,0.000518667907780621,0.767725727048381,0.0338933696419386,62.0483796877251
22,127.661815492475,0.000517996943166401,0.767094557407521,0.0337699086962039,61.8511383839098
23,127.103842953389,0.000517287997218079,0.766440777209329,0.0336389634274598,61.6423913590134
24,126.53177935689,0.000516560682045348,0.765777786867725,0.0335042862230973,61.4278607480931
25,125.957453099184,0.000515830104269733,0.765116076792376,0.0333687728635984,61.2119761608217
26,125.389821715548,0.000515107939978151,0.764463759288108,0.0332346256812652,60.9981196413562
27,124.835531878691,0.000514403024724317,0.763826998269497,0.0331034875661585,60.7888263009037
28,124.299379828578,0.000513721783704667,0.763210361814683,0.0329765522428389,60.5859491561161
29,123.784687713417,0.000513068866009676,0.762617113107132,0.0328546545332818,60.3907941010961
30,123.293611649671,0.0005124473028431,0.762049452912528,0.0327383444079077,60.2042308459121
31,122.827392163485,0.000511859100303152,0.76150872011374,0.0326279473288625,60.0267835921547
32,122.386557731112,0.000511305080965891,0.760995562721314,0.0325236132976286,59.8587052221732
33,121.97108968284,0.000510785509955998,0.760510076838318,0.0324253569792927,59.7000378711088
34,121.580555285773,0.000510299916202572,0.760051926428436,0.0323330899138446,59.5506622098842
35,121.214214835757,0.000509847503368758,0.759620441334837,0.0322466467373714,59.4103374559413
36,120.871107419391,0.0005094270903661,0.759214699443325,0.0321658061220759,59.2787337144093
37,120.550119233518,0.00050903728678274,0.758833593516778,0.0320903076168352,59.1554579861347
38,120.250037820683,0.000508676478184042,0.758475888591065,0.0320198649313502,59.0400750246736
39,119.969594608396,0.000508343030129873,0.758140265639042,0.0319541766279219,58.9321238690407
40,119.70749809266,0.000508035193695415,0.757825360044643,0.0318929342841819,58.8311308869194
41,119.462459482499,0.000507751222972739,0.757529790284624,0.0318358289514167,58.7366199743529
42,119.23321204097,0.000507489398529578,0.757252181097251,0.0317825560286542,58.6481203621547
43,119.018525584515,0.000507248000485206,0.756991183080454,0.0317328189318424,58.5651725581674
44,118.817216926114,0.000507025422917788,0.756745484574769,0.0316863318008457,58.4873327177871
45,118.628157138721,0.000506820058454071,0.756513823534412,0.0316428213524512,58.4141757687857
46,118.450276329725,0.000506630396916936,0.756294994779942,0.0316020281772627,58.3452975503705
47,118.282566334731,0.000506455035800456,0.756087854379031,0.0315637074815532,58.280316119768
48,118.124081929987,0.00050629262208157,0.755891322606278,0.0315276294435206,58.2188724606464
49,117.973940783527,0.000506141881421545,0.755704386847709,0.0314935793098789,58.1606306753837
50,117.831322492336,0.000506001679113879,0.755526099663472,0.0314613571607552,58.1052777971072
