"Time","HASPINa","PLK1a"
0,0,1.61424829106717
1,0,8.63366545239561
2,0,12.2692984973018
3,0,13.81995649756
4,0,14.402994756198
5,0,14.6083954471126
6,0,14.6774221632852
7,0,14.6985816304575
8,0,14.7031014199207
9,0,14.7018729144097
10,0,14.6986879904179
11,0,14.6948678254242
12,0,14.6908720724725
13,0,14.6868587806563
14,0,14.6828799114142
15,0,14.6789500503515
16,0,14.6750707226398
17,0,14.6712390842394
18,0,14.6674510582347
19,0,14.6637024692304
20,0,14.6599894420492
21,0,14.6563085235988
22,0,14.6526566917555
23,0,14.649031336917
24,0,14.6454302150715
25,0,14.6418514042268
26,0,14.6382932611415
27,0,14.6347543816788
28,0,14.6312335654622
29,0,14.6277297851905
30,0,14.6242421600224
31,0,14.620769932827
32,0,14.6173124510899
33,0,14.6138691504976
34,0,14.6104395412704
35,0,14.6070231966942
36,0,14.6036197433513
37,0,14.6002288531182
38,0,14.5968502362746
39,0,14.5934836358492
40,0,14.5901288227738
41,0,14.5867855919113
42,0,14.5834537585977
43,0,14.5801331558509
44,0,14.5768236318689
45,0,14.5735250480673
46,0,14.570237277301
47,0,14.566960202364
48,0,14.5636937148163
49,0,14.5604377137952
50,0,14.5571921052012
