"Time","pH3","pH3_CPCa","pH3_CPCi"
0,0,0,0
1,27.0874473412159,0.22408873585301,0.150634660535679
2,49.3908980702627,0.790555610152645,0.535604573689801
3,61.4827968611027,1.42807473991817,0.974799170800966
4,65.8888813310454,1.97955629516501,1.36086935920386
5,67.6863251596852,2.41622263729876,1.67231333695304
6,68.7344152267415,2.7566787661623,1.92034372618429
7,69.4939018969454,3.02281174430993,2.11899040289996
8,70.1139601215909,3.23246543394322,2.27990437801544
9,70.6541813596397,3.39914482980723,2.41199604110632
10,71.1421141103484,3.53292165785157,2.52195749166973
11,71.5919492137222,3.64132131891352,2.61481388423744
12,72.0116650778217,3.73000392095432,2.69435810818776
13,72.406127930926,3.80326164791421,2.76347339142404
14,72.7785545015179,3.86437326539276,2.82436574812859
15,73.1312476662923,3.91586158879374,2.87873422388551
16,73.4659797206503,3.95967929378506,2.92789449832118
17,73.7841992506936,3.99734587417072,2.97287041759624
18,74.0871451245511,4.0300489445179,3.01446193359604
19,74.375910863627,4.05872041404341,3.05329632800365
20,74.6514816659279,4.08409407658232,3.08986701936547
21,74.9147561459097,4.10674965376325,3.12456328663077
22,75.1665614678671,4.1271469208728,3.15769334032235
23,75.4076598672201,4.14565127773519,3.18950160875116
24,75.6387565092431,4.16255445927422,3.22018276434627
25,75.8605038774866,4.17809020388286,3.24989233584291
26,76.0735057768228,4.19244659220747,3.27875506912397
27,76.2783208132796,4.20577568286835,3.30687145769512
28,76.4754656305493,4.21820107507513,3.33432286790924
29,76.6654178660742,4.22982382521592,3.36117554801043
30,76.8486190384895,4.24072711348589,3.38748378837223
31,77.0254772345925,4.25097990210558,3.41329239720864
32,77.1963696545398,4.26063981551297,3.43863864773349
33,77.3616450284807,4.26975541285103,3.46355381260237
34,77.5216258881046,4.2783679792798,3.48806437124888
35,77.6766106678533,4.28651293857949,3.51219296026654
36,77.8268756811202,4.29422097249939,3.5359591245692
37,77.972676949584,4.30151890662502,3.55937991023437
38,78.1142518704504,4.30843041123847,3.58247033213596
39,78.2518207769975,4.31497656090444,3.60524374572929
40,78.3855883607089,4.32117627936062,3.62771214155398
41,78.5157449625777,4.32704669400663,3.64988637875475
42,78.6424677739265,4.33260342179361,3.67177637237874
43,78.7659219148557,4.33786079774227,3.69339124230245
44,78.8862614271843,4.34283206021902,3.71473943313979
45,79.0036301775141,4.34752950125499,3.73582881096807
46,79.1181626745373,4.35196458866016,3.75666674123661
47,79.2299848230918,4.35614806691747,3.7772601526751
48,79.3392146002023,4.36009003977596,3.79761558927037
49,79.4459626769127,4.36380003918891,3.81773925315136
50,79.5503329834441,4.3672870829853,3.83763704029445
