"Time","pNDC80_total"
0,0
1,31.1207443426257
2,64.9019971409271
3,91.7996058702985
4,113.690063873306
5,131.721601369812
6,146.427278635968
7,158.259658881749
8,167.645540361177
9,174.977428128713
10,180.605509375143
11,184.834940304467
12,187.926930795636
13,190.102135810863
14,191.544909217708
15,192.408014345395
16,192.817121111176
17,192.874986455818
18,192.665146094523
19,192.255136091507
20,191.699241957614
21,191.040834354943
22,190.314336339432
23,189.546831341037
24,188.759438738756
25,187.968429939766
26,187.186154849813
27,186.421803068455
28,185.682029620536
29,184.97146665102
30,184.293142740206
31,183.648824282183
32,183.039293434385
33,182.464573773276
34,181.924112811915
35,181.416929227274
36,180.941731066456
37,180.497010158073
38,180.081117275357
39,179.692321262734
40,179.328855309102
41,178.988952827311
42,178.670874629649
43,178.372929392695
44,178.093488485699
45,177.830996372452
46,177.58397753345
47,177.351040471395
48,177.130879635305
49,176.92227556695
50,176.724093747946
