"Time","pH3S10rep"
0,0
1,16.1813092935409
2,32.5836618314458
3,47.9979423299067
4,62.2791050315522
5,75.0511374721469
6,85.8535134548095
7,94.329178111978
8,100.400206174002
9,104.353075362815
10,106.727710741208
11,108.084880143005
12,108.848856963735
13,109.285010263865
14,109.542653169902
15,109.701849608843
16,109.805064320302
17,109.875139843982
18,109.924742002945
19,109.961184342418
20,109.988881806292
21,110.01061703737
22,110.028211235388
23,110.042891068243
24,110.055500802309
25,110.066628727735
26,110.076686892753
27,110.085963362249
28,110.09465777011
29,110.102906165875
30,110.11079880324
31,110.118393031306
32,110.125722745213
33,110.132805349714
34,110.139646895367
35,110.146245860559
36,110.152595922897
37,110.158687971775
38,110.16451155385
39,110.170055890698
40,110.17531057861
41,110.180266052421
42,110.184913873659
43,110.189246892443
44,110.193259317036
45,110.19694671885
46,110.20030599314
47,110.203335289809
48,110.206033926113
49,110.208402289228
50,110.210441734327
