"Time","BUB1a","pKNL1","pKNL1_bub1a","BUB1a_pknl1"
0,4.8386949845387,0,0,0
1,3.15253844072655,0,0,8.68167920618892e-17
2,3.10647171983039,0,0,4.29966096520578e-12
3,3.1063939342982,0,0,7.45532062786423e-10
4,3.10638947313084,0,0,1.60267943263805e-08
5,3.10638275628113,0,0,1.20226167273406e-07
6,3.10637324190022,0,0,4.86239520482882e-07
7,3.10636221629535,0,0,1.3218637255918e-06
8,3.10635079546673,0,0,2.73808579027358e-06
9,3.10633968020733,0,0,4.66760391976075e-06
10,3.10632923674209,0,0,6.88538475652332e-06
11,3.10631962127983,0,0,9.0952007501163e-06
12,3.10631086342814,0,0,1.10219346479268e-05
13,3.10630292816509,0,0,1.24717906236771e-05
14,3.10629574977206,0,0,1.33524209055912e-05
15,3.10628924951409,0,0,1.36628229298781e-05
16,3.1062833526895,0,0,1.34677695785472e-05
17,3.10627798514228,0,0,1.28690683775264e-05
18,3.10627308316412,0,0,1.19809569028626e-05
19,3.10626858734773,0,0,1.09126082003684e-05
20,3.10626444959018,0,0,9.75781584459345e-06
21,3.10626062637907,0,0,8.59054650084455e-06
22,3.10625708040691,0,0,7.46454725528757e-06
23,3.1062537805105,0,0,6.41536971344049e-06
24,3.10625069934871,0,0,5.46357194207753e-06
25,3.1062478134595,0,0,4.61818997975551e-06
26,3.10624510257058,0,0,3.8799822281797e-06
27,3.10624254991087,0,0,3.24418428816964e-06
28,3.10624013969293,0,0,2.70269164160718e-06
29,3.10623785922651,0,0,2.24569161701762e-06
30,3.10623569678257,0,0,1.86281401685628e-06
31,3.10623364211063,0,0,1.54389467815091e-06
32,3.10623168663046,0,0,1.27944236557844e-06
33,3.10622982212763,0,0,1.06088916400448e-06
34,3.10622804199618,0,0,8.80691280509902e-07
35,3.10622633969429,0,0,7.32332242053608e-07
36,3.10622470970962,0,0,6.10265764431239e-07
37,3.10622314693808,0,0,5.09826154063308e-07
38,3.10622164723815,0,0,4.27124983445945e-07
39,3.10622020589398,0,0,3.58945082445789e-07
40,3.10621881971404,0,0,3.02639882866554e-07
41,3.10621748503809,0,0,2.56041865893485e-07
42,3.10621619893084,0,0,2.17381512750353e-07
43,3.10621495834189,0,0,1.85217563312629e-07
44,3.10621376102039,0,0,1.58377757585323e-07
45,3.1062126043605,0,0,1.35909254493417e-07
46,3.10621148619376,0,0,1.17037584319833e-07
47,3.10621040466294,0,0,1.01132863772916e-07
48,3.10620935758553,0,0,8.76822641330627e-08
49,3.10620834347654,0,0,7.62676111879829e-08
50,3.10620736055807,0,0,6.65472581962889e-08
