"Time","HASPINi","PLK1i"
0,0,14.5282346196045
1,0,7.50881745827755
2,0,3.87318441336795
3,0,2.32252641311111
4,0,1.73948815447428
5,0,1.53408746356224
6,0,1.4650607473864
7,0,1.44390128021213
8,0,1.43938149075285
9,0,1.44060999625834
10,0,1.44379492025434
11,0,1.44761508524057
12,0,1.45161083820026
13,0,1.45562413001736
14,0,1.45960299925335
15,0,1.46353286032412
16,0,1.46741218803922
17,0,1.47124382643826
18,0,1.47503185242772
19,0,1.47878044144081
20,0,1.4824934686278
21,0,1.48617438708002
22,0,1.48982621892235
23,0,1.49345157375416
24,0,1.49705269560774
25,0,1.50063150644418
26,0,1.50418964952474
27,0,1.50772852899204
28,0,1.51124934520777
29,0,1.51475312548078
30,0,1.51824075064037
31,0,1.52171297784727
32,0,1.52517045958228
33,0,1.52861376017061
34,0,1.53204336939833
35,0,1.53545971398347
36,0,1.53886316732267
37,0,1.54225405755732
38,0,1.545632674394
39,0,1.54899927482445
40,0,1.55235408789639
41,0,1.55569731875806
42,0,1.55902915206811
43,0,1.56234975482283
44,0,1.5656592788033
45,0,1.56895786260635
46,0,1.57224563337238
47,0,1.57552270830536
48,0,1.57878919585607
49,0,1.58204519687623
50,0,1.5852908054744
