"Time","pH3S10rep"
0,0
1,19.715272430826
2,36.7582720131813
3,51.2810519249585
4,63.3211585460873
5,72.9898184482889
6,80.4865309534608
7,86.0892936534118
8,90.1250884939465
9,92.9285791832955
10,94.8058535514136
11,96.0131246461425
12,96.7507769998599
13,97.1679291014121
14,97.3716227467686
15,97.4367703009765
16,97.4147858005253
17,97.3403780624283
18,97.2365819009253
19,97.1183793143589
20,96.9952542846746
21,96.8729790086989
22,96.7548503734018
23,96.6425428079715
24,96.5366925912566
25,96.4372941701757
26,96.3439665132877
27,96.2561293668277
28,96.1731174288928
29,96.0942522074038
30,96.0188850254374
31,95.9464209111909
32,95.8763299104369
33,95.808150334271
34,95.7414870783648
35,95.6760071257693
36,95.611433563335
37,95.5475390447736
38,95.4841392738441
39,95.4210867965966
40,95.3582653248217
41,95.2955846633572
42,95.2329762451511
43,95.1703892749561
44,95.1077874255971
45,95.0451460393022
46,94.9824497765536
47,94.9196906543833
48,94.8568664224957
49,94.7939792271847
50,94.7310345187122
