"Time","pNDC80_TTKi","pNDC80_pTTKi"
0,0,0
1,0.00366699624132367,5.70836825003732
2,0.00164039521220397,2.41325317951951
3,0.000616031176318795,0.939099851095462
4,0.000459715730882582,0.726732570665198
5,0.000458575420371796,0.720973808004582
6,0.000473182237906685,0.73427922351521
7,0.00048598973120652,0.745280847615686
8,0.000495855328941454,0.753172396160821
9,0.000503290147518438,0.758771935758865
10,0.000508828008651983,0.762732854727717
11,0.000512892610630015,0.76550307621478
12,0.000515811015986993,0.767392894211775
13,0.000517836323030755,0.768622915964289
14,0.000519165547504082,0.769353834524962
15,0.000519953466173269,0.769705267989116
16,0.000520322256925537,0.769767899331937
17,0.00052036902768822,0.769611546090226
18,0.00052017112677774,0.769290618131908
19,0.000519790385005997,0.768847914676919
20,0.000519276178144967,0.768317313251528
21,0.000518667907780621,0.767725727048381
22,0.000517996943166401,0.767094557407521
23,0.000517287997218079,0.766440777209329
24,0.000516560682045348,0.765777786867725
25,0.000515830104269733,0.765116076792376
26,0.000515107939978151,0.764463759288108
27,0.000514403024724317,0.763826998269497
28,0.000513721783704667,0.763210361814683
29,0.000513068866009676,0.762617113107132
30,0.0005124473028431,0.762049452912528
31,0.000511859100303152,0.76150872011374
32,0.000511305080965891,0.760995562721314
33,0.000510785509955998,0.760510076838318
34,0.000510299916202572,0.760051926428436
35,0.000509847503368758,0.759620441334837
36,0.0005094270903661,0.759214699443325
37,0.00050903728678274,0.758833593516778
38,0.000508676478184042,0.758475888591065
39,0.000508343030129873,0.758140265639042
40,0.000508035193695415,0.757825360044643
41,0.000507751222972739,0.757529790284624
42,0.000507489398529578,0.757252181097251
43,0.000507248000485206,0.756991183080454
44,0.000507025422917788,0.756745484574769
45,0.000506820058454071,0.756513823534412
46,0.000506630396916936,0.756294994779942
47,0.000506455035800456,0.756087854379031
48,0.00050629262208157,0.755891322606278
49,0.000506141881421545,0.755704386847709
50,0.000506001679113879,0.755526099663472
