"Time","HASPINa","PLK1a"
0,0,1.9370979492806
1,0,10.3589062243724
2,0,14.722443044958
3,0,16.5837097606562
4,0,17.2836137888644
5,0,17.5302971330969
6,0,17.6133340178201
7,0,17.6389418052626
8,0,17.6445885152257
9,0,17.6433369590629
10,0,17.6397319433521
11,0,17.6353551859073
12,0,17.6307560111937
13,0,17.6261228741359
14,0,17.6215176642124
15,0,17.6169579244335
16,0,17.6124458585327
17,0,17.607978637813
18,0,17.6035520779905
19,0,17.599161939636
20,0,17.5948043646938
21,0,17.5904759943094
22,0,17.5861739622758
23,0,17.5818958594278
24,0,17.5776396723182
25,0,17.5734037274031
26,0,17.5691866381657
27,0,17.5649872586099
28,0,17.5608046424603
29,0,17.5566380087042
30,0,17.5524867124072
31,0,17.5483502203895
32,0,17.5442280909327
33,0,17.5401199569769
34,0,17.5360255125906
35,0,17.5319445013031
36,0,17.5278767072052
37,0,17.5238219470307
38,0,17.519780064265
39,0,17.5157509238688
40,0,17.511734408391
41,0,17.507730414458
42,0,17.5037388501897
43,0,17.4997596328906
44,0,17.4957926874425
45,0,17.4918379446091
46,0,17.4878953399966
47,0,17.4839648133423
48,0,17.4800463071248
49,0,17.4761397667513
50,0,17.4722451395614
