"Time","pH3_CPCi"
0,0
1,1.18392661523832e-19
2,1.59249414762905e-14
3,5.46459717373682e-12
4,2.05827746891441e-10
5,2.55335939721556e-09
6,1.65134584499008e-08
7,7.01604874664331e-08
8,2.23206345761568e-07
9,5.7619374993729e-07
10,1.2718207262269e-06
11,2.48781249349672e-06
12,4.42345690944268e-06
13,7.2830350527647e-06
14,1.12592924598069e-05
15,1.65190720607143e-05
16,2.3192498255395e-05
17,3.13661483498132e-05
18,4.10799860801456e-05
19,5.23275726848064e-05
20,6.50588573908571e-05
21,7.91848578973062e-05
22,9.45832783041131e-05
23,0.000111105250542487
24,0.000128581713622442
25,0.000146829863204513
26,0.000165659093635764
27,0.000184876351148299
28,0.00020429077404368
29,0.000223717630887321
30,0.000242981493755951
31,0.000261918734990628
32,0.000280379380002554
33,0.000298228370822778
34,0.000315346319213807
35,0.000331629827822177
36,0.000346991433254563
37,0.000361359247934035
38,0.000374676366283643
39,0.000386900075986299
40,0.000398000936390412
41,0.000407961762563268
42,0.000416776548679497
43,0.000424449365751067
44,0.000430993256245172
45,0.000436429147628469
46,0.000440784799238773
47,0.000444093798225151
48,0.000446394609302738
49,0.000447729688171186
50,0.000448144661461439
