"Time","bound_active_CPC"
0,0
1,3.12187676316314
2,3.37779908566148
3,3.66908187447892
4,3.96273310674125
5,4.2230085180708
6,4.43746513989919
7,4.60761996705924
8,4.74001377840471
9,4.84191954903612
10,4.91988076376254
11,4.97933250751985
12,5.02461782213946
13,5.05913657531492
14,5.0855174153903
15,5.10577791782428
16,5.12145825379867
17,5.13372926631374
18,5.14347727625145
19,5.15137023534119
20,5.15790883786396
21,5.16346602567868
22,5.16831746261906
23,5.17266470114995
24,5.17665333152521
25,5.18038673523564
26,5.18393667996313
27,5.187351425003
28,5.1906619165275
29,5.19388650127302
30,5.19703450579285
31,5.200108935163
32,5.20310849776461
33,5.20602911269992
34,5.2088650199732
35,5.21160958900827
36,5.21425589703411
37,5.21679713345077
38,5.21922687492333
39,5.22153926176217
40,5.22372910352288
41,5.22579193207075
42,5.22772401677342
43,5.22952235384301
44,5.23118463725947
45,5.23270921846349
46,5.23409505878
47,5.23534167823458
48,5.23644910332817
49,5.23741781529081
50,5.23824870000053
