"Time","pH2A_SGO1_CPCi","SGO1_CPCi"
0,0,0
1,0.151867168604045,0.00573317000202307
2,0.205512716561868,0.00237055961539839
3,0.251153351262666,0.00196445175169651
4,0.290787935256141,0.00179990891473645
5,0.324764493686393,0.00171630003791527
6,0.353590172020703,0.00166902037105788
7,0.377888339050542,0.00164077806503703
8,0.398311841641333,0.00162356430887315
9,0.415471274948726,0.00161317016439496
10,0.429907547566111,0.00160718509222725
11,0.442086380991568,0.0016041449437449
12,0.452402036956562,0.00160312307972419
13,0.461184920535307,0.00160351580118517
14,0.468709912112082,0.00160492198741216
15,0.475204705197461,0.0016070713366675
16,0.480857237398421,0.0016097798716567
17,0.48582224489468,0.00161292133363137
18,0.490226834272786,0.00161640829137338
19,0.494175210784342,0.00162017956355032
20,0.497752633141365,0.0016241915922961
21,0.501028724583484,0.00162841263322235
22,0.504060260640134,0.00163281875507041
23,0.506893387145749,0.00163739117071723
24,0.509565562209464,0.00164211438997007
25,0.512107107358669,0.00164697505338775
26,0.51454250180596,0.00165196112416762
27,0.516891447774215,0.00165706141818322
28,0.519169749829612,0.00166226533069162
29,0.521390036329543,0.00166756264445205
30,0.523562354771463,0.00167294348134722
31,0.525694659138965,0.001678398252206
32,0.52779320967231,0.00168391770671443
33,0.52986290070584,0.00168949290464127
34,0.53190752853955,0.00169511528482668
35,0.533930010158711,0.00170077667332734
36,0.535932561777455,0.00170646932205318
37,0.53791684402313,0.00171218590343622
38,0.539884079844223,0.0017179195525374
39,0.54183515005875,0.00172366386887326
40,0.543770670671232,0.00172941289012655
41,0.545691054942343,0.00173516112833465
42,0.547596563359289,0.00174090352506923
43,0.549487343479686,0.00174663546221001
44,0.551363461543968,0.00175235273944624
45,0.553224927566341,0.00175805154593555
46,0.555071714818536,0.00176372844680275
47,0.556903775053743,0.00176938037912854
48,0.558721050155315,0.00177500459632757
49,0.560523480893116,0.00178059867700148
50,0.56231101339878,0.00178616049318953
