prefix,state,max,min,final_radius,trend,spinodal_point
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__6max_3.9min,relaxed,6.0,3.9,0.267393875170766,increasing,4.343782217350893
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__6max_4min,relaxed,6.0,4.0,0.266360224924631,increasing,4.422649730810374
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__6max_4.1min,relaxed,6.0,4.1,0.264306260557062,increasing,4.501517244269856
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__6max_4.2min,relaxed,6.0,4.2,0.263530638166271,increasing,4.580384757729337
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__6max_4.25min,relaxed,6.0,4.25,0.252979285640539,decreasing,4.6198185144590775
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__6max_4.5min,relaxed,6.0,4.5,0.171845316142765,decreasing,4.81698729810778
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_3.9min,relaxed,8.0,3.9,0.240691544354718,increasing,4.766431948161268
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_4min,relaxed,8.0,4.0,0.140183893651195,decreasing,4.8452994616207485
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_4.1min,relaxed,8.0,4.1,0.13495922967264,increasing,4.9241669750802295
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_4.2min,relaxed,8.0,4.2,0.129190123829517,increasing,5.003034488539711
CPC_all_11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_4.25min,relaxed,8.0,4.25,0.126083706875712,increasing,5.042468245269452
