prefix,state,max,min,final_radius,trend,slope,last_time,spinodal_point
CPC_all_06_13_26_metacentric_transition_tensed_MCF10A_chr19_PMP1_t_5min_2_136x136__10max_5min,tensed,10.0,5.0,0.131019129554573,stable,-0.691933360562464,0.05,6.0566243270259355
CPC_all_06_13_26_metacentric_transition_tensed_MCF10A_chr19_PMP1_t_5min_2_136x136__10max_4.5min,tensed,10.0,4.5,0.0306107820871756,stable,-0.6603859480148146,0.05,6.0566243270259355
CPC_all_06_13_26_metacentric_transition_tensed_MCF10A_chr19_PMP1_t_5min_2_136x136__10max_5.5min,tensed,10.0,5.5,0.05431395115881175,decreasing,-0.5726103118982341,0.05,6.0566243270259355
CPC_all_06_13_26_metacentric_transition_tensed_MCF10A_chr19_PMP1_t_5min_2_136x136__10max_6.5min,tensed,10.0,6.5,,,,0.01125,6.0566243270259355
CPC_all_06_13_26_metacentric_transition_tensed_MCF10A_chr19_PMP1_t_5min_2_136x136__10max_4min,tensed,10.0,4,0.1089769965745536,stable,-0.7624829516017064,0.05,6.0566243270259355
CPC_all_06_13_26_metacentric_transition_tensed_MCF10A_chr19_PMP1_t_5min_2_136x136__10max_7min,tensed,10.0,7,,,,0.007,6.0566243270259355
CPC_all_06_13_26_metacentric_transition_tensed_MCF10A_chr19_PMP1_t_5min_2_136x136__10max_6min,tensed,10.0,6,,,,0.027,6.0566243270259355
CPC_all_06_13_26_metacentric_transition_tensed_MCF10A_chr19_PMP1_t_5min_2_136x136__11max_6min,tensed,11.0,6,,,,0.0245,6.267949192431123
CPC_all_06_13_26_metacentric_transition_tensed_MCF10A_chr19_PMP1_t_5min_2_136x136__11max_7min,tensed,11.0,7,,,,0.00575,6.267949192431123
CPC_all_06_13_26_metacentric_transition_tensed_MCF10A_chr19_PMP1_t_5min_2_136x136__11max_4min,tensed,11.0,4,0.0469347578629523,stable,-0.5940953425326163,0.05,6.267949192431123
