prefix,state,max,min,final_radius,trend,slope,last_time,spinodal_point
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__8max_4min,relaxed,8.0,4.0,,,,,4.8452994616207485
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__8max_4.5min,relaxed,8.0,4.5,,,,,5.239637028918155
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__8max_5min,relaxed,8.0,5.0,,,,,5.633974596215562
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__8max_5.5min,relaxed,8.0,5.5,,,,,6.028312163512968
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__8max_6min,relaxed,8.0,6.0,,,,,6.422649730810374
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__9max_4min,relaxed,9.0,4.0,,,,,5.0566243270259355
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__9max_4.5min,relaxed,9.0,4.5,,,,,5.450961894323342
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__9max_5min,relaxed,9.0,5.0,,,,,5.8452994616207485
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__9max_5.5min,relaxed,9.0,5.5,,,,,6.239637028918155
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__9max_6min,relaxed,9.0,6.0,,,,,6.633974596215562
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__10max_4min,relaxed,10.0,4.0,,,,,5.267949192431123
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__10max_4.5min,relaxed,10.0,4.5,,,,,5.662286759728529
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__10max_5min,relaxed,10.0,5.0,,,,,6.0566243270259355
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__10max_5.5min,relaxed,10.0,5.5,,,,,6.450961894323342
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__10max_6min,relaxed,10.0,6.0,,,,,6.8452994616207485
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__11max_4min,relaxed,11.0,4.0,,,,,5.47927405783631
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__11max_4.5min,relaxed,11.0,4.5,,,,,5.873611625133716
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__11max_5min,relaxed,11.0,5.0,,,,,6.267949192431123
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__11max_5.5min,relaxed,11.0,5.5,,,,,6.662286759728529
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__11max_6min,relaxed,11.0,6.0,,,,,7.0566243270259355
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__12max_4min,relaxed,12.0,4.0,,,,,5.690598923241497
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__12max_4.5min,relaxed,12.0,4.5,,,,,6.084936490538904
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__12max_5min,relaxed,12.0,5.0,,,,,6.47927405783631
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__12max_5.5min,relaxed,12.0,5.5,,,,,6.873611625133716
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__12max_6min,relaxed,12.0,6.0,,,,,7.267949192431123
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__13max_4min,relaxed,13.0,4.0,,,,,5.901923788646684
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_FOXM1_II_100_144x144__13max_4.5min,relaxed,13.0,4.5,,,,,6.2962613559440905
