prefix,state,max,min,final_radius,trend,slope,last_time,spinodal_point
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_4min,relaxed,8.0,4.0,0.245129641371587,increasing,0.05980524193597336,0.05,4.8452994616207485
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_4.5min,relaxed,8.0,4.5,0.24429787241037498,increasing,0.11542959211160181,0.05,5.239637028918155
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_5min,relaxed,8.0,5.0,0.244262540835761,increasing,0.17239920644826506,0.05,5.633974596215562
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_5.5min,relaxed,8.0,5.5,0.24344098532005498,increasing,0.1379702680295869,0.05,6.028312163512968
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__8max_6min,relaxed,8.0,6.0,0.0860153484291228,concave_up,-1.6037711959070466,0.05,6.422649730810374
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_4min,relaxed,9.0,4.0,0.247480769787772,increasing,0.17031597796470313,0.05,5.0566243270259355
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_4.5min,relaxed,9.0,4.5,0.244484302822858,increasing,0.15680943557553634,0.05,5.450961894323342
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_5min,relaxed,9.0,5.0,0.24244855450282848,increasing,0.12190046573003338,0.05,5.8452994616207485
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_5.5min,relaxed,9.0,5.5,0.24592933000287848,increasing,0.12396578967554359,0.05,6.239637028918155
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__9max_6min,relaxed,9.0,6.0,0.0664452952255518,concave_down,-0.960965755220591,0.05,6.633974596215562
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__10max_4min,relaxed,10.0,4.0,0.245546289129368,increasing,0.15645466450469417,0.05,5.267949192431123
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__10max_4.5min,relaxed,10.0,4.5,0.2445905033874495,increasing,0.15614120893738279,0.05,5.662286759728529
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__10max_5min,relaxed,10.0,5.0,0.24445883852914452,increasing,0.16246479098933958,0.05,6.0566243270259355
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__10max_5.5min,relaxed,10.0,5.5,0.0599753377981742,concave_up,-4.934847281895108,0.05,6.450961894323342
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__10max_6min,relaxed,10.0,6.0,0.0530144862439656,concave_up,-0.7117569168205783,0.05,6.8452994616207485
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__11max_4min,relaxed,11.0,4.0,0.2450228832516655,increasing,0.15351302267496827,0.05,5.47927405783631
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__11max_4.5min,relaxed,11.0,4.5,0.243486942594385,increasing,0.11033536404030889,0.05,5.873611625133716
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__11max_5min,relaxed,11.0,5.0,0.2456173220117465,increasing,0.1408372114841141,0.05,6.267949192431123
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__11max_5.5min,relaxed,11.0,5.5,0.0862196385423619,concave_up,-0.2817170621232143,0.05,6.662286759728529
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__11max_6min,relaxed,11.0,6.0,0.0410335623271947,concave_down,-0.6915004308371957,0.05,7.0566243270259355
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__12max_4min,relaxed,12.0,4.0,0.2469895187390205,increasing,0.11375597883668434,0.05,5.690598923241497
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__12max_4.5min,relaxed,12.0,4.5,0.2474511275750395,increasing,0.14181548564930269,0.05,6.084936490538904
CPC_all_04_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_100_144x144__12max_5min,relaxed,12.0,5.0,0.24602067766150099,increasing,0.13102372727949224,0.05,6.47927405783631
