prefix,state,max,min,final_radius,trend,slope,last_time,spinodal_point
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__10max_4min,relaxed,10.0,4.0,0.190895939434581,stable,-0.4756986411847603,0.05,5.267949192431123
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__10max_4.5min,relaxed,10.0,4.5,0.168429380807056,stable,-0.18513138210260596,0.05,5.662286759728529
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__10max_5min,relaxed,10.0,5.0,0.144291127030498,stable,-0.37366767826466984,0.05,6.0566243270259355
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__10max_5.5min,relaxed,10.0,5.5,0.112453750591806,decreasing,-0.8173022130035542,0.05,6.450961894323342
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__10max_6min,relaxed,10.0,6.0,0.0630327982821242,decreasing,-1.6411298358578188,0.05,6.8452994616207485
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__10max_6.5min,relaxed,10.0,6.5,,,,0.03175,7.239637028918155
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__10max_7min,relaxed,10.0,7.0,,,,0.0175,7.633974596215562
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__11max_4min,relaxed,11.0,4.0,0.174157065357026,stable,-0.2794081143995891,0.05,5.47927405783631
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__11max_4.5min,relaxed,11.0,4.5,0.153922715629609,stable,-0.14271455906777022,0.05,5.873611625133716
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__11max_5min,relaxed,11.0,5.0,0.131179752000149,stable,-0.34005619846679513,0.05,6.267949192431123
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__11max_5.5min,relaxed,11.0,5.5,0.101882880037687,decreasing,-0.7409278428205234,0.05,6.662286759728529
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__11max_6min,relaxed,11.0,6.0,0.0578362938052903,decreasing,-1.4533904763166774,0.05,7.0566243270259355
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__11max_6.5min,relaxed,11.0,6.5,,,,0.03275,7.450961894323342
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__11max_7min,relaxed,11.0,7.0,,,,0.018,7.8452994616207485
CPC_all_06_13_26_metacentric_relaxed_MCF10A_chr19_PMP1_25_136x136__12max_4min,relaxed,12.0,4.0,0.160090433647471,stable,-0.15324115237419353,0.05,5.690598923241497
