prefix,state,max,min,final_radius,trend,slope,last_time,spinodal_point
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_4min,relaxed,8.0,4.0,0.243032248639166,increasing,0.09850258976393322,0.05,4.8452994616207485
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_4.2min,relaxed,8.0,4.2,0.2421265120436665,increasing,0.09902283990430127,0.05,5.003034488539711
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_4.4min,relaxed,8.0,4.4,0.24579001151378,increasing,0.1354030195938617,0.05,5.160769515458674
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_4.6min,relaxed,8.0,4.6,0.24179747273916502,increasing,0.10433094294775087,0.05,5.318504542377636
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_4.8min,relaxed,8.0,4.8,0.2427260990758705,increasing,0.09869193147009256,0.05,5.476239569296599
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_5min,relaxed,8.0,5.0,0.24355838869503899,increasing,0.14317780894875698,0.05,5.633974596215562
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_5.2min,relaxed,8.0,5.2,0.24181049812649,increasing,0.1521619474495859,0.05,5.791709623134524
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_5.4min,relaxed,8.0,5.4,0.241447122315709,increasing,0.10897088447135549,0.05,5.949444650053487
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_5.6min,relaxed,8.0,5.6,0.09038424963118355,stable,-5.563189166647863,0.05,6.107179676972449
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_5.8min,relaxed,8.0,5.8,0.129709480064816,stable,-1.1560456116958902,0.05,6.264914703891412
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__8max_6min,relaxed,8.0,6.0,0.0927011064222228,decreasing,-1.3733005927230661,0.05,6.422649730810374
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_4min,relaxed,9.0,4.0,0.2424662705194075,increasing,0.09176428451555724,0.05,5.0566243270259355
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_4.2min,relaxed,9.0,4.2,0.24385960430091203,increasing,0.08772031891890089,0.05,5.214359353944898
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_4.4min,relaxed,9.0,4.4,0.2449288334504165,increasing,0.19792715769261437,0.05,5.372094380863861
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_4.6min,relaxed,9.0,4.6,0.240895967944333,increasing,0.0987359882457528,0.05,5.529829407782823
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_4.8min,relaxed,9.0,4.8,0.241936882656163,increasing,0.12749310991793159,0.05,5.687564434701786
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_5min,relaxed,9.0,5.0,0.2426839375899725,increasing,0.13362764587714415,0.05,5.8452994616207485
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_5.2min,relaxed,9.0,5.2,0.24319459283963302,increasing,0.11720019836060468,0.05,6.003034488539711
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_5.4min,relaxed,9.0,5.4,0.10189981772465549,stable,-2.2806131373329075,0.05,6.160769515458674
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_5.6min,relaxed,9.0,5.6,0.125790288561581,stable,-0.7590672145120121,0.05,6.318504542377636
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_5.8min,relaxed,9.0,5.8,0.102773473475082,stable,-1.035226919504699,0.05,6.476239569296599
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__9max_6min,relaxed,9.0,6.0,0.0738315576181339,decreasing,-0.9175955073830607,0.05,6.633974596215562
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_4min,relaxed,10.0,4.0,0.2419709062228495,increasing,0.09779615073155387,0.05,5.267949192431123
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_4.2min,relaxed,10.0,4.2,0.243526917268682,increasing,0.1647442335943197,0.05,5.425684219350085
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_4.4min,relaxed,10.0,4.4,0.24208638731967802,increasing,0.1296278784857553,0.05,5.583419246269048
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_4.6min,relaxed,10.0,4.6,0.2455406437532925,increasing,0.18383940400964394,0.05,5.741154273188011
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_4.8min,relaxed,10.0,4.8,0.241721747567681,increasing,0.12078554867518161,0.05,5.898889300106973
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_5min,relaxed,10.0,5.0,0.24272225159413802,increasing,0.1509864359707601,0.05,6.0566243270259355
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_5.2min,relaxed,10.0,5.2,0.2437259026559805,increasing,0.1322415662266338,0.05,6.214359353944898
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_5.4min,relaxed,10.0,5.4,0.118959440328421,stable,-4.026358385927,0.05,6.372094380863861
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_5.6min,relaxed,10.0,5.6,0.103862475693538,stable,-0.18576400951388972,0.05,6.529829407782823
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_5.8min,relaxed,10.0,5.8,0.0850723930241449,stable,-0.7866184962528622,0.05,6.687564434701786
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__10max_6min,relaxed,10.0,6.0,0.0614826204759177,decreasing,-0.8139594633300515,0.05,6.8452994616207485
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_4min,relaxed,11.0,4.0,0.2432106157472195,increasing,0.14109062499509678,0.05,5.47927405783631
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_4.2min,relaxed,11.0,4.2,0.244823567964365,increasing,0.12559688208455808,0.05,5.637009084755273
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_4.4min,relaxed,11.0,4.4,0.2434868809396585,increasing,0.14722532074698114,0.05,5.794744111674236
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_4.6min,relaxed,11.0,4.6,0.243451266509443,increasing,0.15057870683128688,0.05,5.952479138593198
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_4.8min,relaxed,11.0,4.8,0.243433700707066,increasing,0.15278765873747538,0.05,6.11021416551216
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_5min,relaxed,11.0,5.0,0.244648545834502,increasing,0.0982568235883779,0.05,6.267949192431123
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_5.2min,relaxed,11.0,5.2,0.0773400687370914,stable,-5.7502796888335155,0.05,6.425684219350085
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_5.4min,relaxed,11.0,5.4,0.102089301533337,stable,-0.26730412380983787,0.05,6.583419246269048
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_5.6min,relaxed,11.0,5.6,0.0895164896027081,stable,-0.41121232966933435,0.05,6.741154273188011
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_5.8min,relaxed,11.0,5.8,0.0734936368602915,stable,-0.5217913430820146,0.05,6.898889300106973
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__11max_6min,relaxed,11.0,6.0,0.0514841429965085,decreasing,-0.7662868969751343,0.05,7.0566243270259355
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_4min,relaxed,12.0,4.0,0.2445545025396395,increasing,0.1613314188488537,0.05,5.690598923241497
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_4.2min,relaxed,12.0,4.2,0.244419811330743,increasing,0.14231485181777356,0.05,5.84833395016046
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_4.4min,relaxed,12.0,4.4,0.2448731679766465,increasing,0.17692264979946568,0.05,6.006068977079423
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_4.6min,relaxed,12.0,4.6,0.244749030185092,increasing,0.14212958981509785,0.05,6.163804003998385
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_4.8min,relaxed,12.0,4.8,0.2481362440668825,increasing,0.2535792541058265,0.05,6.321539030917347
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_5min,relaxed,12.0,5.0,0.082009739918859,stable,-5.381469335683214,0.05,6.47927405783631
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_5.2min,relaxed,12.0,5.2,0.100435187976627,stable,-1.6516207978318405,0.05,6.637009084755273
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_5.4min,relaxed,12.0,5.4,0.0904651562796844,stable,0.18038738236836327,0.05,6.794744111674236
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_5.6min,relaxed,12.0,5.6,0.0783538911848425,stable,-0.2296935285094115,0.05,6.952479138593198
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_5.8min,relaxed,12.0,5.8,0.0640196511620263,stable,-0.48038956145225403,0.05,7.11021416551216
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__12max_6min,relaxed,12.0,6.0,0.0422365385193368,decreasing,-0.7601415377159053,0.05,7.267949192431123
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_4min,relaxed,13.0,4.0,0.245873068287409,increasing,0.12027073519750517,0.05,5.901923788646684
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_4.2min,relaxed,13.0,4.2,0.24479160564704,increasing,0.15209597417941423,0.05,6.059658815565647
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_4.4min,relaxed,13.0,4.4,0.2436360525505035,increasing,0.10918652553466632,0.05,6.21739384248461
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_4.6min,relaxed,13.0,4.6,0.246905304226138,increasing,0.14531795812217868,0.05,6.3751288694035715
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_4.8min,relaxed,13.0,4.8,0.0886848302135098,stable,-4.187024775732999,0.05,6.532863896322534
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_5min,relaxed,13.0,5.0,0.062209862089313,stable,-4.062059212014505,0.05,6.690598923241497
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_5.2min,relaxed,13.0,5.2,0.0901879139781568,stable,0.4656574633150257,0.05,6.84833395016046
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_5.4min,relaxed,13.0,5.4,0.0807296710225609,stable,-0.08281219989501198,0.05,7.006068977079423
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_5.6min,relaxed,13.0,5.6,0.0696553809645887,stable,-0.3473177561663183,0.05,7.163804003998385
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_5.8min,relaxed,13.0,5.8,0.055713377451453,stable,-0.45862968097332774,0.05,7.321539030917347
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__13max_6min,relaxed,13.0,6.0,0.0319860780044675,decreasing,-0.7994797757768939,0.05,7.47927405783631
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__14max_4min,relaxed,14.0,4.0,0.2436376719531525,increasing,0.08421516465071116,0.05,6.113248654051871
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__14max_4.2min,relaxed,14.0,4.2,0.245701753875182,increasing,0.1301263064486803,0.05,6.270983680970835
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__14max_4.4min,relaxed,14.0,4.4,0.2459974090860505,increasing,0.15187843104965187,0.05,6.4287187078897965
CPC_all_02_23_26_metacentric_relaxed_MCF10A_chr19_PMP1_120_144x144__14max_4.6min,relaxed,14.0,4.6,0.09719456581448399,stable,-1.2880967875955118,0.05,6.586453734808758
