"Time","HASPINi","PLK1i"
0,9.98119345228153,17.4338815435254
1,0.060458474669007,9.00126054311712
2,0.0421701617387342,4.64100395332151
3,0.037366918331986,2.78168911687099
4,0.0357377610311762,2.08246668349929
5,0.0350998863205977,1.83579372603656
6,0.0348011337317055,1.75249150622135
7,0.0346321889054697,1.72653639565678
8,0.0345230075690655,1.72054417808066
9,0.0344473396350595,1.7214832224082
10,0.0343936334482394,1.72481686432516
11,0.0343557002516464,1.72896219334605
12,0.0343295834993231,1.73336537356667
13,0.0343124578967243,1.7378326757951
14,0.0343021982808582,1.74229716829307
15,0.0342971742560738,1.74673686663049
16,0.0342961282945537,1.75114579329581
17,0.0342980908542063,1.75552363333438
18,0.0343023161847835,1.75987198040872
19,0.0343082324362474,1.76419295285305
20,0.0343154026968113,1.76848867874332
21,0.0343234944357176,1.77276110860064
22,0.0343322555530757,1.77701196532224
23,0.0343414960927686,1.78124272769468
24,0.0343510736718968,1.78545465536687
25,0.0343608823735779,1.78964880909913
26,0.0343708441158136,1.79382607851909
27,0.0343809019899538,1.79798720452377
28,0.0343910151091296,1.80213280536973
29,0.0344011546515971,1.80626339441593
30,0.0344113008165601,1.81037939952145
31,0.0344214404938752,1.81448117594917
32,0.034431565480485,1.81856902108259
33,0.0344416711252754,1.8226431837596
34,0.0344517553019691,1.82670387360738
35,0.0344618176349284,1.83075126816459
36,0.0344718589208746,1.8347855188564
37,0.034481880699528,1.83880675621803
38,0.0344918849387303,1.84281509350023
39,0.0345018738074188,1.84681062997916
40,0.0345118495136714,1.85079345457495
41,0.0345218141945514,1.8547636468396
42,0.0345317698414116,1.85872127929761
43,0.0345417182543853,1.86266641885951
44,0.0345516610162246,1.86659912803402
45,0.0345615994821584,1.87051946577439
46,0.034571534780066,1.87442748783692
47,0.0345814678129489,1.87832324899688
48,0.0345913992795412,1.88220680039392
49,0.0346013296810825,1.88607819336677
50,0.0346112593408557,1.88993747760287
