"Time","HASPINa","PLK1a"
0,0,1.9370979492806
1,0,10.3715746518278
2,0,14.730851959435
3,0,16.5895343533709
4,0,17.2883819345927
5,0,17.5347588856349
6,0,17.617782551889
7,0,17.6434747704079
8,0,17.6492294414688
9,0,17.6480836811912
10,0,17.644574754074
11,0,17.640283295403
12,0,17.6357596281288
13,0,17.6311936881295
14,0,17.6266488124405
15,0,17.6221437900503
16,0,17.6176818584904
17,0,17.6132610345058
18,0,17.6088778237239
19,0,17.6045285506851
20,0,17.6002098200594
21,0,17.5959186548326
22,0,17.5916525029537
23,0,17.5874092170174
24,0,17.5831870015182
25,0,17.5789843635608
26,0,17.5748000677661
27,0,17.5706330953383
28,0,17.5664826051612
29,0,17.5623479055419
30,0,17.5582284253405
31,0,17.5541236947635
32,0,17.5500333236669
33,0,17.5459569901158
34,0,17.5418944244434
35,0,17.5378454016115
36,0,17.5338097312343
37,0,17.5297872522942
38,0,17.5257778260248
39,0,17.5217813328572
40,0,17.5177976671513
41,0,17.5138267359716
42,0,17.5098684556958
43,0,17.5059227501115
44,0,17.5019895492577
45,0,17.4980687874595
46,0,17.494160403504
47,0,17.4902643397506
48,0,17.4863805390469
49,0,17.482508947435
50,0,17.4786495122725
