"Time","pH2A_SGO1_CPCi"
0,0
1,0.141408166916836
2,0.190674801809802
3,0.231294830003095
4,0.265955920274428
5,0.295358687468631
6,0.320140257832991
7,0.340944134737169
8,0.358393157515273
9,0.373047719731517
10,0.385392459684065
11,0.395837543976527
12,0.404725564938977
13,0.412340364028036
14,0.418915788679301
15,0.424643799206645
16,0.429681555248361
17,0.434157448142257
18,0.438176184422373
19,0.441823021562162
20,0.445167263665937
21,0.448265155296394
22,0.451162305494671
23,0.453895581105526
24,0.4564947620001
25,0.458983849150855
26,0.461382144914581
27,0.463705136157197
28,0.465965217573364
29,0.468172281189851
30,0.470334197184908
31,0.472457206002243
32,0.474546237223334
33,0.476605169004546
34,0.478637038453561
35,0.480644212717821
36,0.482628527162771
37,0.484591396995971
38,0.486533907674113
39,0.488456887441361
40,0.490360965700785
41,0.492246619625948
42,0.494114211466285
43,0.495964018069562
44,0.497796254311406
45,0.499611091373977
46,0.501408671070957
47,0.503189116874549
48,0.504952542281143
49,0.506699057134489
50,0.508428772265598
