"Time","pNDC80_TTKi","pNDC80_pTTKi"
0,0,0
1,0.000915427952987921,0.203670857546057
2,0.00084480932149997,0.303715904356494
3,0.00101748072141279,0.415961152755992
4,0.00116744504754798,0.499874409375162
5,0.00127576012184603,0.555589495948664
6,0.00134442628899204,0.588591318908059
7,0.0013840246991654,0.606188404044848
8,0.00140573742089385,0.614785446783882
9,0.00141744804327197,0.618613178635713
10,0.00142369156612169,0.620013574570344
11,0.00142686043158189,0.620174672712432
12,0.00142820667972364,0.619685744358543
13,0.0014284127142386,0.618845425580036
14,0.00142787672777854,0.617812632683445
15,0.00142684801135222,0.616677275208542
16,0.0014254930751936,0.615493338347574
17,0.00142392716186798,0.614294791595531
18,0.0014222329786886,0.613103639170304
19,0.00142047031416176,0.611934266332591
20,0.00141868227029782,0.610795961902589
21,0.00141690012273289,0.609694490341798
22,0.00141514578534254,0.608633117929515
23,0.00141343459356768,0.607613337349517
24,0.00141177638663707,0.606635371224258
25,0.00141017749643136,0.605698545193728
26,0.00140864118917381,0.604801562083693
27,0.00140716831869001,0.603942707513322
28,0.0014057585439077,0.603120004530899
29,0.00140441025248146,0.602331327227143
30,0.0014031210547312,0.6015744867535
31,0.00140188809584993,0.600847293755112
32,0.0014007081003095,0.600147603544182
33,0.00139957777299313,0.599473348603571
34,0.00139849365608443,0.598822558896991
35,0.00139745255141282,0.59819337665673
36,0.00139645102417797,0.59758406244101
37,0.00139548613883919,0.5969929998338
38,0.00139455483847849,0.596418693708143
39,0.00139365449082514,0.595859767552539
40,0.00139278255273876,0.595314960062034
41,0.00139193657242137,0.594783117183733
42,0.00139111427536876,0.594263187979097
43,0.00139031391890909,0.593754216395716
44,0.00138953347694444,0.593255334796058
45,0.00138877136940751,0.592765756954553
46,0.00138802602178774,0.592284771174915
47,0.00138729615806722,0.591811733987277
48,0.0013865805359652,0.591346063776835
49,0.00138587793742532,0.590887235478869
50,0.00138518749881358,0.590434774766823
