"Time","pH3S10rep"
0,0
1,19.4350850185526
2,36.111997565791
3,50.2576307950317
4,61.9561265830646
5,71.3514827718829
6,78.6591212490824
7,84.1559577890456
8,88.154493467761
9,90.9680002293203
10,92.8810236600825
11,94.1326086335034
12,94.9118634136058
13,95.3618799189361
14,95.5874791599982
15,95.6636746354329
16,95.643208612139
17,95.562608491768
18,95.4467980142599
19,95.3124935529997
20,95.170658551928
21,95.0282630763696
22,94.8895327040753
23,94.7568315383364
24,94.631284295177
25,94.5132106384259
26,94.4024265137629
27,94.2984509535015
28,94.2006458468022
29,94.1083085166785
30,94.0207312753895
31,93.9372380234564
32,93.8572051865256
33,93.7800720290177
34,93.7053440753093
35,93.6325920070075
36,93.5614479821219
37,93.4916004596685
38,93.4227883289774
39,93.3547949297895
40,93.2874422348652
41,93.2205854421498
42,93.1541080265516
43,93.0879173329845
44,93.021940693506
45,92.9561220413547
46,92.8904190043624
47,92.8248004181622
48,92.7592442164245
49,92.6937356535014
50,92.6282658174187
