"Time","pH3S10rep"
0,0
1,29.2053668489731
2,57.3895781747661
3,78.6092324291452
4,93.019977021435
5,101.510121650589
6,105.832294987195
7,107.764000017168
8,108.48228548703
9,108.61147014254
10,108.457908746557
11,108.171873851627
12,107.82935685249
13,107.470079513649
14,107.115173822961
15,106.775735673541
16,106.457199731343
17,106.16171192028
18,105.889489473598
19,105.639635605175
20,105.410643126645
21,105.200711134627
22,105.007939533317
23,104.830456734441
24,104.666488361075
25,104.514397391368
26,104.372701947772
27,104.240079291821
28,104.115361076792
29,103.997523638885
30,103.8856756714
31,103.779044800829
32,103.676964175507
33,103.578859591388
34,103.484237624568
35,103.392674769235
36,103.303807826966
37,103.217325415576
38,103.13296051691
39,103.050484042901
40,102.969699261623
41,102.890437033291
42,102.812551710787
43,102.735917653133
44,102.660426254101
45,102.585983399676
46,102.512507326488
47,102.439926793523
48,102.368179533933
49,102.297210937951
50,102.226972939299
