"Time","pH3S10rep"
0,0
1,21.8637429111358
2,42.3904059951198
3,60.787786429723
4,77.0310474393632
5,90.5524292074924
6,100.568609879414
7,106.830754962235
8,110.117849683903
9,111.666926531762
10,112.393999467322
11,112.764290329515
12,112.97579936489
13,113.108985076352
14,113.198068829514
15,113.259308985321
16,113.301567432442
17,113.330299367049
18,113.349162216082
19,113.360738941747
20,113.366908356013
21,113.369059916994
22,113.368231018546
23,113.365198761769
24,113.360546511009
25,113.354711588852
26,113.348020774204
27,113.340716943873
28,113.33297927122
29,113.324938594042
30,113.316689167969
31,113.308297677417
32,113.299810142133
33,113.291257214734
34,113.282658232304
35,113.274024312167
36,113.26536070298
37,113.256668564876
38,113.247946307472
39,113.239190586664
40,113.230397039884
41,113.221560820176
42,113.212676977515
43,113.203740723842
44,113.194747611249
45,113.185693643224
46,113.176575338922
47,113.167389761817
48,113.158134522569
49,113.148807764755
50,113.13940813869
