"Time","HASPINi","PLK1i"
0,0,17.4338815435254
1,0,8.99940484097818
2,0,4.64012753337085
3,0,2.78144513943504
4,0,2.08259755821332
5,0,1.83622060717117
6,0,1.75319694091703
7,0,1.72750472239807
8,0,1.72175005133719
9,0,1.72289581161482
10,0,1.72640473873196
11,0,1.73069619740293
12,0,1.73521986467687
13,0,1.7397858046765
14,0,1.74433068036574
15,0,1.74883570275562
16,0,1.75329763431481
17,0,1.75771845829998
18,0,1.76210166908263
19,0,1.76645094212084
20,0,1.77076967274701
21,0,1.77506083797194
22,0,1.77932698985229
23,0,1.78357027578966
24,0,1.7877924912877
25,0,1.7919951292454
26,0,1.79617942503966
27,0,1.80034639746711
28,0,1.80449688764462
29,0,1.80863158726306
30,0,1.81275106746633
31,0,1.81685579804324
32,0,1.8209461691397
33,0,1.82502250269055
34,0,1.82908506836217
35,0,1.83313409119518
36,0,1.83716976157226
37,0,1.84119224051129
38,0,1.84520166678079
39,0,1.84919815994913
40,0,1.85318182565451
41,0,1.85715275683548
42,0,1.86111103710996
43,0,1.86505674269496
44,0,1.86898994354774
45,0,1.87291070534749
46,0,1.87681908930398
47,0,1.88071515305503
48,0,1.88459895375894
49,0,1.88847054537123
50,0,1.89232998053278
