"Time","pH3_CPCi"
0,0
1,5.17823726595913e-08
2,1.25052527237657e-05
3,0.000163366770566074
4,0.000763185672866293
5,0.00216414335888133
6,0.00461117041394036
7,0.00819733240777043
8,0.0128858210729509
9,0.0185501367242282
10,0.0250102018895574
11,0.0320599465443133
12,0.0394879970631235
13,0.0470928858029225
14,0.0546933789963817
15,0.0621343949462109
16,0.0692892911402061
17,0.0760595328401094
18,0.0823726435131185
19,0.0881792139976297
20,0.0934495318062785
21,0.0981701598971767
22,0.102340848991126
23,0.105971544201128
24,0.109079998509402
25,0.111689654400974
26,0.113827906962812
27,0.11552468861648
28,0.116811339689931
29,0.117719719147062
30,0.118281517773324
31,0.118527740920583
32,0.118488326881554
33,0.118191878465267
34,0.117665479967006
35,0.116934589792978
36,0.116022983293069
37,0.114952738511867
38,0.113744256426544
39,0.112416302624476
40,0.110986068362257
41,0.109469240973011
42,0.10788008460622
43,0.106231523733705
44,0.10453522918888
45,0.102801705475519
46,0.101040374841878
47,0.099259660135775
48,0.0974670637855117
49,0.0956692440334715
50,0.0938720862511645
