"Time","SGO1","pH2A_SGO1","pH2A_SGO1_CPCa","SGO1_CPCa"
0,7.06702815181287,0,0,0
1,0.19072154792193,4.4774788441784,0.210446804906044,0.00891917851241198
2,0.0595075125721753,4.50257940647991,0.281553458692481,0.00367368641466844
3,0.040501183360883,4.48055091488745,0.338888813129002,0.00301476986178654
4,0.032181097182431,4.47474171380608,0.386658550790776,0.002731825408027
5,0.0275921911771243,4.48327586353393,0.426076457509348,0.00257385695649385
6,0.0247526219367683,4.50293944241711,0.458236418941814,0.00247190187239637
7,0.0228731619185079,4.53083461441839,0.48421782218988,0.00239974520923201
8,0.0215749019716682,4.56451383683336,0.505046996410857,0.00234544066332889
9,0.0206526248547567,4.60198530841667,0.521637541620142,0.00230274464969992
10,0.019985318081569,4.64166218690056,0.534772620331179,0.00226806228037454
11,0.0194969626151173,4.68230132055677,0.545109075264623,0.00223917472060993
12,0.0191374290201343,4.72294593281194,0.553190071140012,0.00221463802566383
13,0.0188723786058158,4.7628748881537,0.559460603401855,0.00219347210630456
14,0.0186775759659523,4.80155896883821,0.564282756162547,0.00217498817098022
15,0.0185355044133431,4.83862381157528,0.567949731309445,0.0021586872292963
16,0.0184332634727282,4.87381865488383,0.570698066058313,0.00214419778251583
17,0.0183612122144616,4.90699034367786,0.572717978882859,0.00213123616068393
18,0.0183120632508959,4.93806179843953,0.574162024698772,0.00211958052383368
19,0.0182802605641478,4.96701433867913,0.575152243655413,0.00210905344362036
20,0.0182615429146844,4.9938732677919,0.575786004603414,0.0020995100625496
21,0.0182526282072808,5.01869612359167,0.576140788201243,0.00209082987127348
22,0.0182509814155003,5.04156366689325,0.57627811932217,0.00208291081656215
23,0.0182546455526404,5.0625719285498,0.576246644762109,0.00207566541366951
24,0.0182621099508729,5.08182671139819,0.576084738896002,0.00206901764559877
25,0.0182722112240858,5.0994389724302,0.575822552470598,0.00206290083715464
26,0.0182840576463075,5.11552135842163,0.575483675095051,0.00205725606947774
27,0.0182969695766835,5.13018559794274,0.575086473117647,0.00205203097140254
28,0.018310433352691,5.1435406047604,0.574645167137182,0.00204717879181135
29,0.0183240651122064,5.15569112558902,0.574170695692968,0.0020426576721357
30,0.0183375819871534,5.16673682517985,0.573671407516662,0.0020384300530759
31,0.0183507803892067,5.17677171707642,0.573153615866129,0.0020344622182198
32,0.0183635174469855,5.18588385354387,0.572622040922608,0.00203072385795531
33,0.0183756974965456,5.1941552189848,0.572080162635416,0.00202718774548671
34,0.0183872610636184,5.20166176436257,0.571530501132991,0.00202382943545055
35,0.0183981763676427,5.20847356414271,0.570974839532545,0.00202062700164378
36,0.0184084315146348,5.21465503799309,0.570414399940174,0.00201756077217576
37,0.0184180304354791,5.22026522312726,0.569849982091773,0.00201461316587924
38,0.0184269879326016,5.2253580859402,0.569282072562693,0.0020117684545572
39,0.0184353263236438,5.22998284514232,0.568710929874772,0.00200901261599657
40,0.0184430736838623,5.23418430611033,0.568136650765874,0.00200633316508275
41,0.018450261041148,5.23800318327885,0.56755922120768,0.00200371900082118
42,0.0184569213375219,5.24147642632231,0.566978555611684,0.00200116029244997
43,0.0184630881871758,5.24463752225343,0.566394526378909,0.00199864833425076
44,0.0184687953223294,5.24751679027026,0.56580698615404,0.00199617545664626
45,0.0184740756469959,5.25014165681224,0.565215783925621,0.0019937349107616
46,0.0184789609200554,5.25253691257616,0.564620776722263,0.0019913207752709
47,0.0184834815132352,5.25472494987753,0.564021837717863,0.00198892787997979
48,0.0184876662354921,5.25672598375389,0.563418861446807,0.00198655172180969
49,0.0184915421770513,5.25855825736749,0.562811766982796,0.00198418840101966
50,0.0184951347143713,5.26023822629731,0.562200499561681,0.00198183455182412
