"Time","pH2A_SGO1_CPCi"
0,0
1,2.24070750757776
2,2.31441844664391
3,2.29137003614215
4,2.22583710254965
5,2.14070582456178
6,2.04898952725245
7,1.9582411601016
8,1.87264127847399
9,1.79418638615725
10,1.72355997773177
11,1.66070513428092
12,1.60517683646246
13,1.55635124090586
14,1.51354656408681
15,1.47608936819085
16,1.44334862047774
17,1.41475085645261
18,1.38978455034821
19,1.36799865373157
20,1.34899830660936
21,1.33243931780445
22,1.31802189958153
23,1.3054856861018
24,1.2946041276155
25,1.28517999132629
26,1.27704132894168
27,1.27003799366889
28,1.26403862993088
29,1.25892810569112
30,1.25460531925978
31,1.25098132219252
32,1.2479777202492
33,1.24552530063137
34,1.2435628634247
35,1.2420362068095
36,1.24089726274712
37,1.24010335014812
38,1.23961652375468
39,1.23940301396868
40,1.2394327357252
41,1.23967886461582
42,1.24011746212841
43,1.24072715045099
44,1.24148882615548
45,1.24238540622303
46,1.24340160770075
47,1.24452375056973
48,1.24573958563465
49,1.24703813961742
50,1.24840957969273
