"Time","pH3","pH3_CPCa","pH3_CPCi"
0,0,0,0
1,5.13201215071225e-07,8.97129161042136e-09,6.02867073088072e-09
2,0.000107959604704792,3.61689516591799e-06,2.44997904358202e-06
3,0.00126530647700547,6.03989168695132e-05,4.12391732719858e-05
4,0.00544123666430395,0.000326116843641145,0.00022444853567179
5,0.0144876528643134,0.00101598552627578,0.000704868758283842
6,0.0294261069261462,0.00230929700435042,0.00161506708870693
7,0.0504335919160896,0.00429805497393406,0.00303024303907937
8,0.0770730460889269,0.00698462256191128,0.00496403746555849
9,0.10852386937325,0.0103025951727576,0.00738078869241469
10,0.143751821968113,0.0141418358186448,0.0102115052133948
11,0.181630016563173,0.0183697583503497,0.0133680412516432
12,0.221031439261237,0.022847455048137,0.0167543142391043
13,0.260899938057406,0.0274412460257127,0.0202747581903444
14,0.300299425292695,0.0320303916419412,0.0238403469300828
15,0.338441514707825,0.036511554922109,0.0273724339249635
16,0.374694652751209,0.040800643128771,0.0308047383682897
17,0.408579843429648,0.0448327438063636,0.0340839072197505
18,0.439757715095791,0.0485607877625896,0.0371690632411749
19,0.468011047367777,0.0519534957505084,0.0400307244122441
20,0.493225693669578,0.0549930213617234,0.0426493968990207
21,0.515371599745559,0.0576725430816891,0.0450140343728534
22,0.534485912848171,0.059994080875536,0.0471205809660919
23,0.550656738159907,0.0619663968961627,0.0489705172986895
24,0.564010356618273,0.0636033211326963,0.0505696651357275
25,0.574699946633456,0.0649222810648808,0.0519271100323228
26,0.582896421594608,0.0659431073383552,0.053054302355329
27,0.588781031006343,0.0666870719477858,0.0539643138072015
28,0.592539521555916,0.0671761314940876,0.054671235227963
29,0.594357596861533,0.0674323408766165,0.0551896953856572
30,0.59441746787971,0.0674774092515439,0.0555344830658103
31,0.592895312424451,0.0673323736753363,0.0557202565711189
32,0.589959456191434,0.0670173656558664,0.0557613239923386
33,0.585769153813983,0.0665514542414016,0.0556714829606787
34,0.580473816915775,0.0659525459613433,0.0554639059379844
35,0.574212637300528,0.0652373343648431,0.0551510658854141
36,0.56711446592441,0.0644212817912259,0.0547446895203073
37,0.559297909250774,0.0635186282217268,0.0542557341889648
38,0.550871597067392,0.0625424214116127,0.0536943839758429
39,0.541934551859276,0.0615045596660679,0.0530700583388005
40,0.532576648568163,0.0604158457985289,0.0523914320386055
41,0.52287911226202,0.0592860458673277,0.0516664612103013
42,0.512915058186869,0.0581239531876862,0.0509024158622025
43,0.502750035678442,0.0569374529472747,0.0501059149349541
44,0.492442574424558,0.0557335872313221,0.0492829636140932
45,0.4820447271587,0.0545186197240387,0.0484389922277068
46,0.471602586024009,0.053298097348373,0.0475788942659575
47,0.4611567836275,0.0520769101627036,0.0467070645307142
48,0.450742965694701,0.0508593479160429,0.0458274359202954
49,0.440392241313906,0.0496491539896826,0.0449435153920371
50,0.430131601086571,0.0484495755494481,0.0440584179177681
