"Time","pNDC80_total"
0,0
1,74.5624622972085
2,143.819551103345
3,201.711920219092
4,248.282920713132
5,284.098384964397
6,310.479347604677
7,329.312089293011
8,342.494653619046
9,351.54815557087
10,357.579808611262
11,361.388090668434
12,363.560065237213
13,364.534460268799
14,364.641312337362
15,364.128959303555
16,363.183729007807
17,361.944792288212
18,360.515518773667
19,358.97214874237
20,357.370391237122
21,355.750458826767
22,354.140890305569
23,352.561450516668
24,351.025347754378
25,349.540914910838
26,348.112889725765
27,346.743388278993
28,345.43264418576
29,344.179567753976
30,342.982167581221
31,341.837866382965
32,340.74373590429
33,339.696669547246
34,338.693507917885
35,337.731127567972
36,336.806502832533
37,335.916746935404
38,335.05913727744
39,334.231129547419
40,333.430363152069
41,332.654660948242
42,331.902024413024
43,331.170626178234
44,330.45880068083
45,329.765033556646
46,329.087950819912
47,328.426307777765
48,327.778978246196
49,327.144944038899
50,326.523285111678
