"Time","BUB1a","pKNL1","pKNL1_bub1a","BUB1a_pknl1"
0,4.8386949845387,0,0,0
1,2.53274941767321,0,0,4.38137435079386e-05
2,2.47186978790057,0,0,0.0040153328545672
3,2.47163469554152,0,0,0.0252056398153879
4,2.47163956074623,0,0,0.0622949698265217
5,2.47163120145832,0,0,0.100288424542964
6,2.47161413693407,0,0,0.128342813632623
7,2.47159307122061,0,0,0.143460723283876
8,2.47157098622847,0,0,0.147311661000134
9,2.47154952057554,0,0,0.143124781051725
10,2.47152945512773,0,0,0.134033423121112
11,2.47151107594892,0,0,0.122475014124934
12,2.47149440486308,0,0,0.110120557496446
13,2.47147933655901,0,0,0.0980061506055194
14,2.47146571406562,0,0,0.0867070249807161
15,2.47145336890155,0,0,0.0764913520280302
16,2.47144214179845,0,0,0.0674368457786614
17,2.47143188891506,0,0,0.0595117102708163
18,2.47142248522261,0,0,0.0526275014582143
19,2.47141382402637,0,0,0.0466718229647157
20,2.47140581424692,0,0,0.0415274583293382
21,2.47139837883184,0,0,0.0370827555126653
22,2.47139145252045,0,0,0.0332364921480754
23,2.47138497963209,0,0,0.0298998452863693
24,2.47137891220343,0,0,0.026996284440028
25,2.47137320999906,0,0,0.0244607148821006
26,2.47136783660873,0,0,0.0222381991892977
27,2.47136276285968,0,0,0.020282581604992
28,2.47135796131239,0,0,0.0185551622185436
29,2.47135340894943,0,0,0.0170235031412486
30,2.4713490838152,0,0,0.0156603886296747
31,2.47134496882436,0,0,0.0144429389475525
32,2.47134104668993,0,0,0.0133518690459557
33,2.47133730385752,0,0,0.0123708718680036
34,2.4713337266385,0,0,0.0114861113942164
35,2.47133030335232,0,0,0.0106858035620564
36,2.4713270231695,0,0,0.00995987434886183
37,2.47132387667967,0,0,0.00929967886143142
38,2.47132085508849,0,0,0.00869776977695173
39,2.47131795069711,0,0,0.00814770762799421
40,2.47131515605257,0,0,0.00764390364584243
41,2.47131246432793,0,0,0.00718149055634423
42,2.47130986965917,0,0,0.00675621458190926
43,2.47130736670954,0,0,0.00636434604864009
44,2.47130494956697,0,0,0.00600260452204938
45,2.47130261390997,0,0,0.00566809571105057
46,2.47130035529583,0,0,0.00535825884383795
47,2.47129817023571,0,0,0.00507082188996731
48,2.47129605446747,0,0,0.00480376377681387
49,2.47129400422308,0,0,0.00455528199480479
50,2.47129201674757,0,0,0.00432376515392158
