"Time","BUB1a","pKNL1","pKNL1_bub1a","BUB1a_pknl1"
0,4.8386949845387,0,0,0
1,2.51073789148259,26.3557353649537,208.401857131219,163.231130461553
2,2.46619503023118,17.6593532308264,217.248821836262,147.772910786813
3,2.46500327554996,17.6297830647764,217.285719649274,141.876991031469
4,2.4647037318969,17.6319002262189,217.285942873343,141.091509533783
5,2.46472345199422,17.6319482182097,217.286699536049,142.189257932139
6,2.46488403498498,17.6309744422684,217.287954277142,143.970821181482
7,2.46510096881025,17.6295725018569,217.289452604183,145.940521096198
8,2.4653331686796,17.6280390592966,217.291015818276,147.887822345266
9,2.46556095239233,17.6265194690442,217.292540634596,149.727163359708
10,2.46577549073114,17.6250807695618,217.293975268639,151.429688484269
11,2.46597348854152,17.6237494288371,217.295298859204,152.992244040798
12,2.46615442912166,17.6225312588532,217.29650769703,154.422786016509
13,2.46631912491552,17.6214220138004,217.29760684659,155.733425626958
14,2.46646895153652,17.6204130236022,217.298605318451,156.937144979534
15,2.46660545304817,17.6194941398648,217.299513417938,158.046322187968
16,2.46673014744489,17.6186552226584,217.300341367488,159.072143053213
17,2.46684443302297,17.617886835399,217.301098653264,160.024442672015
18,2.46694955871224,17.6171805213628,217.301793765156,160.911747032561
19,2.46704661641711,17.6165288565427,217.302434151024,161.741397882181
20,2.46713655268276,17.6159254017129,217.303026268024,162.519701818432
21,2.4672201830471,17.6153646063095,217.303575680565,163.252078072711
22,2.46729820813174,17.6148416903276,217.304087179521,163.943198373639
23,2.46737123362153,17.6143525484235,217.304564878886,164.597095428893
24,2.4674397783888,17.6138936417559,217.305012324448,165.217269573652
25,2.46750429124015,17.6134619114075,217.305432580764,165.806770643712
26,2.46756516314403,17.6130547103235,217.305828299492,166.368267830761
27,2.46762273404089,17.6126697315606,217.306201791381,166.904107553358
28,2.46767730017688,17.6123049616897,217.306555073027,167.416361733996
29,2.46772912275209,17.611958634839,217.306889912959,167.906867692602
30,2.46777843055444,17.6116291916983,217.307207872749,168.377261402581
31,2.4678254286648,17.611315259361,217.307510327224,168.829005317974
32,2.4678702961414,17.61101561483,217.307798501054,169.263411615423
33,2.4679131971548,17.6107291675071,217.308073486293,169.681661848647
34,2.46795427363263,17.6104549432015,217.30833625841,170.084823439297
35,2.46799365635416,17.610192066156,217.308587694304,170.473863823948
36,2.46803146169415,17.6099397474832,217.308828583883,170.849662399914
37,2.46806779599503,17.6096972756643,217.309059639584,171.213020748481
38,2.46810275494267,17.6094640044833,217.309281508463,171.564671502866
39,2.46813642653654,17.6092393467639,217.309494778467,171.905285931643
40,2.46816888915896,17.6090227673471,217.309699985462,172.235480577021
41,2.46820021623023,17.6088137773511,217.309897618986,172.555822936608
42,2.46823047488144,17.6086119293678,217.310088127055,172.866836526517
43,2.46825972536741,17.6084168124757,217.31027192116,173.169005236252
44,2.46828802438555,17.6082280476663,217.310449380842,173.462777186196
45,2.46831542423981,17.6080452874807,217.310620854058,173.748568162724
46,2.46834197331967,17.6078682106598,217.310786662537,174.026764594067
47,2.46836771327593,17.6076965146987,217.310947109221,174.297726237805
48,2.46839268915028,17.6075299285252,217.311102465598,174.561788522884
49,2.46841693720003,17.6073681941477,217.311252990049,174.819264708182
50,2.46844049369257,17.6072110723056,217.311398922202,175.070447752368
