"Time","bound_CPC"
0,0
1,5.77893157029315
2,5.73440721582291
3,5.65517398106926
4,5.54484774985385
5,5.41410765494636
6,5.27461226108357
7,5.13725169383009
8,5.01002805237989
9,4.89717108432898
10,4.80008319681756
11,4.71843485793542
12,4.65097055333947
13,4.59602859083487
14,4.55185131541932
15,4.51675507888813
16,4.48921355844974
17,4.46788976110008
18,4.45163902177026
19,4.43949694210804
20,4.43066064070899
21,4.42446770643173
22,4.42037508046441
23,4.4179407260969
24,4.41680624500902
25,4.41668240888776
26,4.41733676879275
27,4.41858326760381
28,4.42027358121375
29,4.42228998452424
30,4.42453948860264
31,4.42694904090865
32,4.42946161902297
33,4.43203304854865
34,4.43462942992328
35,4.43722504783853
36,4.43980069063451
37,4.44234229012315
38,4.4448398297042
39,4.44728646531766
40,4.44967782196512
41,4.45201143034185
42,4.45428627710227
43,4.456502447573
44,4.4586608424131
45,4.4607629520578
46,4.46281068094927
47,4.46480621088899
48,4.46675189264295
49,4.46865016295148
50,4.47050348364641
