"Time","pH2A","pH2A_SGO1","pH2A_SGO1_CPCa","pH2A_SGO1_CPCi"
0,0,0,0,0
1,32.6077337001037,73.0816901834321,3.34512348279296,2.24070750757776
2,44.6862768069937,57.9928654445109,3.44295528976557,2.31441844664391
3,52.8039199045436,47.840031901095,3.39313015902402,2.29137003614215
4,58.4673345672756,40.7002116804528,3.27850538382954,2.22583710254965
5,62.5720421929137,35.4564522409845,3.13430187646306,2.14070582456178
6,65.61977749993,31.4862226679656,2.98056732240668,2.04898952725245
7,67.918425609965,28.4101730406793,2.82893287255052,1.9582411601016
8,69.6692881436707,25.9826499184132,2.68582567750282,1.87264127847399
9,71.0101704451908,24.0376678114044,2.55430193140046,1.79418638615725
10,72.0387243462883,22.4592715050118,2.43538214405586,1.72355997773177
11,72.826021421823,21.1642261551511,2.32893221557698,1.66070513428092
12,73.4248925788795,20.0914217742812,2.23421006359717,1.60517683646246
13,73.8752948019553,19.1951174602156,2.15019337448418,1.55635124090586
14,74.2078720728916,18.4405156500782,2.07577067102223,1.51354656408681
15,74.4464055609644,17.8007631691681,2.00984694791152,1.47608936819085
16,74.6095360818705,17.2548776755685,1.95139829273446,1.44334862047774
17,74.7119991717588,16.7862853168899,1.89949626847955,1.41475085645261
18,74.7655292578788,16.3817673508191,1.85331485285104,1.38978455034821
19,74.7795308765869,16.0306898378257,1.81212786967905,1.36799865373157
20,74.7615820886287,15.7244336940371,1.7753017740298,1.34899830660936
21,74.7178184528101,15.4559655114601,1.74228640039542,1.33243931780445
22,74.6532323730461,15.2195043446748,1.71260453600834,1.31802189958153
23,74.5718952635667,15.0102802262827,1.68584351357155,1.3054856861018
24,74.4771415639159,14.8243317115921,1.66164589595058,1.2946041276155
25,74.371708771121,14.6583542486253,1.63970195824173,1.28517999132629
26,74.2578494255913,14.5095790149431,1.61974297131654,1.27704132894168
27,74.1374203616243,14.3756765671286,1.60153541145711,1.27003799366889
28,74.0119545012634,14.2546793726162,1.58487597065561,1.26403862993088
29,73.8827186242317,14.1449194710009,1.56958731225473,1.25892810569112
30,73.7507601559397,14.0449779253166,1.55551445706885,1.25460531925978
31,73.616945254697,13.9536435682099,1.54252170178617,1.25098132219252
32,73.4819898935711,13.8698792517397,1.53049000305371,1.2479777202492
33,73.3464853479045,13.7927940462863,1.51931474123734,1.24552530063137
34,73.2109191090125,13.7216203571084,1.50890382330725,1.2435628634247
35,73.0756922030406,13.6556948285197,1.49917604377447,1.2420362068095
36,72.9411334594197,13.5944425597809,1.49005969344897,1.24089726274712
37,72.8075113340711,13.5373639345071,1.48149136236881,1.24010335014812
38,72.6750437979267,13.4840235113977,1.47341490125721,1.23961652375468
39,72.5439065146265,13.4340407790883,1.46578053147003,1.23940301396868
40,72.4142397124547,13.3870823054582,1.45854406832207,1.2394327357252
41,72.2861538913913,13.3428551763103,1.45166625345328,1.23967886461582
42,72.1597346511483,13.3011013712847,1.44511216730047,1.24011746212841
43,72.0350467060067,13.2615930451508,1.43885072156147,1.24072715045099
44,71.9121372783299,13.2241284928041,1.43285421400845,1.24148882615548
45,71.7910389548738,13.1885286917496,1.42709793605149,1.24238540622303
46,71.6717720884062,13.1546343758292,1.42155983296652,1.24340160770075
47,71.5543468213962,13.122303517328,1.41622020202986,1.24452375056973
48,71.4387647996325,13.0914091688983,1.41106142969798,1.24573958563465
49,71.3250206264866,13.0618375883848,1.40606775639988,1.24703813961742
50,71.2131030771581,13.0334866486161,1.40122507180933,1.24840957969273
