"Time","HASPINa","HASPINi","PLK1a","PLK1i"
0,0,0,1.9370979492806,17.4338815435254
1,0,0,10.3715746518278,8.99940484097818
2,0,0,14.730851959435,4.64012753337085
3,0,0,16.5895343533709,2.78144513943504
4,0,0,17.2883819345927,2.08259755821332
5,0,0,17.5347588856349,1.83622060717117
6,0,0,17.617782551889,1.75319694091703
7,0,0,17.6434747704079,1.72750472239807
8,0,0,17.6492294414688,1.72175005133719
9,0,0,17.6480836811912,1.72289581161482
10,0,0,17.644574754074,1.72640473873196
11,0,0,17.640283295403,1.73069619740293
12,0,0,17.6357596281288,1.73521986467687
13,0,0,17.6311936881295,1.7397858046765
14,0,0,17.6266488124405,1.74433068036574
15,0,0,17.6221437900503,1.74883570275562
16,0,0,17.6176818584904,1.75329763431481
17,0,0,17.6132610345058,1.75771845829998
18,0,0,17.6088778237239,1.76210166908263
19,0,0,17.6045285506851,1.76645094212084
20,0,0,17.6002098200594,1.77076967274701
21,0,0,17.5959186548326,1.77506083797194
22,0,0,17.5916525029537,1.77932698985229
23,0,0,17.5874092170174,1.78357027578966
24,0,0,17.5831870015182,1.7877924912877
25,0,0,17.5789843635608,1.7919951292454
26,0,0,17.5748000677661,1.79617942503966
27,0,0,17.5706330953383,1.80034639746711
28,0,0,17.5664826051612,1.80449688764462
29,0,0,17.5623479055419,1.80863158726306
30,0,0,17.5582284253405,1.81275106746633
31,0,0,17.5541236947635,1.81685579804324
32,0,0,17.5500333236669,1.8209461691397
33,0,0,17.5459569901158,1.82502250269055
34,0,0,17.5418944244434,1.82908506836217
35,0,0,17.5378454016115,1.83313409119518
36,0,0,17.5338097312343,1.83716976157226
37,0,0,17.5297872522942,1.84119224051129
38,0,0,17.5257778260248,1.84520166678079
39,0,0,17.5217813328572,1.84919815994913
40,0,0,17.5177976671513,1.85318182565451
41,0,0,17.5138267359716,1.85715275683548
42,0,0,17.5098684556958,1.86111103710996
43,0,0,17.5059227501115,1.86505674269496
44,0,0,17.5019895492577,1.86898994354774
45,0,0,17.4980687874595,1.87291070534749
46,0,0,17.494160403504,1.87681908930398
47,0,0,17.4902643397506,1.88071515305503
48,0,0,17.4863805390469,1.88459895375894
49,0,0,17.482508947435,1.88847054537123
50,0,0,17.4786495122725,1.89232998053278
