"Time","BUB1a","pKNL1","pKNL1_bub1a","BUB1a_pknl1"
0,4.8386949845387,0,0,0
1,2.57480242790758,0,0,3.6734856128709e-22
2,2.47204222358864,0,0,1.41389880449469e-16
3,2.4716345405192,0,0,7.11803578042094e-14
4,2.47164052422819,0,0,3.07623201303801e-12
5,2.47163402917241,0,0,3.83922197431358e-11
6,2.47161849432607,0,0,2.30256511443358e-10
7,2.47159850741089,0,0,8.59379525383635e-10
8,2.47157704720467,0,0,2.31298528047474e-09
9,2.47155581275968,0,0,4.91690719249991e-09
10,2.47153567449338,0,0,8.76202225896088e-09
11,2.4715170109338,0,0,1.36337990509167e-08
12,2.47149992522852,0,0,1.90677906845052e-08
13,2.4714843757764,0,0,2.44820607408299e-08
14,2.47147025198921,0,0,2.93193021171484e-08
15,2.47145741689027,0,0,3.31512810730414e-08
16,2.47144572992462,0,0,3.57283041924051e-08
17,2.47143505734315,0,0,3.6979706608774e-08
18,2.47142527824089,0,0,3.69819788522302e-08
19,2.47141628591596,0,0,3.59124325861737e-08
20,2.47140798680879,0,0,3.40021082340635e-08
21,2.4714003004417,0,0,3.14962662126907e-08
22,2.47139315658199,0,0,2.86260042412229e-08
23,2.47138649659993,0,0,2.55906600348427e-08
24,2.47138026774535,0,0,2.2549868578915e-08
25,2.47137442613783,0,0,1.96223317901296e-08
26,2.47136893292615,0,0,1.68890491523661e-08
27,2.47136375477605,0,0,1.43989459393059e-08
28,2.47135886247508,0,0,1.21753962304415e-08
29,2.47135423061329,0,0,1.02226296384328e-08
30,2.47134983659546,0,0,8.53144821231476e-09
31,2.471345660697,0,0,7.0839831023434e-09
32,2.47134168517079,0,0,5.85743282162195e-09
33,2.47133789465,0,0,4.82684728772362e-09
34,2.47133427509788,0,0,3.96709343918597e-09
35,2.47133081395246,0,0,3.25414923726991e-09
36,2.47132749986802,0,0,2.66588661665366e-09
37,2.47132432301754,0,0,2.18247417704184e-09
38,2.47132127390628,0,0,1.78651077212443e-09
39,2.47131834436676,0,0,1.46298381097758e-09
40,2.47131552720444,0,0,1.19911643493761e-09
41,2.47131281493867,0,0,9.84156674096039e-10
42,2.47131020136006,0,0,8.09139263480312e-10
43,2.47130768065321,0,0,6.66646169807517e-10
44,2.47130524758822,0,0,5.50578380433576e-10
45,2.47130289763605,0,0,4.55946921285347e-10
46,2.47130062607636,0,0,3.78688345315593e-10
47,2.47129842799311,0,0,3.15503973016163e-10
48,2.47129630035919,0,0,2.63722973051975e-10
49,2.47129423931555,0,0,2.21186769761541e-10
50,2.47129224135011,0,0,1.86153070199312e-10
