"Time","pNDC80","pNDC80_TTKa","pNDC80_pTTKa"
0,0,0,0
1,28.6683665713726,0.306343272963374,45.3831661673735
2,58.1755226727199,0.366822883445124,84.9726448335015
3,82.8928990818088,0.439230444288171,117.962812059517
4,104.442396373482,0.504144655663703,142.835337829563
5,123.425971014297,0.552634168883364,159.562914525147
6,139.761082308862,0.584028638381069,169.544300912237
7,153.227868194418,0.602363404772655,174.874285265077
8,163.801080524678,0.612490309916555,177.464891600247
9,171.709046634367,0.617980049639324,178.601098260185
10,177.337956263134,0.620926445880536,178.999488636111
11,181.119824684111,0.62244334214586,179.024221109034
12,183.460359296834,0.623114458539799,178.855477530801
13,184.706920902547,0.623257448632961,178.584008079325
14,185.14136295524,0.623056916304981,178.257651956405
15,184.985069179901,0.62262815410396,177.90315784633
16,184.408384943246,0.622047770227399,177.536377462912
17,183.540556472533,0.621368984904822,177.167148112016
18,182.478614405823,0.620629796786123,176.801748698909
19,181.294720578394,0.619857702868766,176.444215724461
20,180.042003945151,0.61907265093492,176.097099996863
21,178.7591240525,0.618289022967415,175.761934360835
22,177.473788817812,0.61751703129541,175.439536192746
23,176.205440081582,0.616763744956422,175.130219918186
24,174.967323797425,0.616033857562234,174.833942951779
25,173.768062425555,0.615330271452879,174.55041349114
26,172.612855464066,0.614654546882483,174.279169511544
27,171.504393722239,0.614007249336169,174.019637431586
28,170.44355446154,0.613388216815079,173.77117574433
29,169.429927819461,0.612796767594444,173.533107429441
30,168.462214212292,0.612231859825238,173.304743901296
31,167.53852256027,0.611692214104544,173.08540242674
32,166.656592588028,0.611176406838815,172.874418597779
33,165.81395874563,0.610682940171837,172.671154935068
34,165.008069934765,0.610210294876469,172.47500663569
35,164.236374821634,0.609756967935595,172.285404949194
36,163.496381843807,0.609321500303586,172.101818974957
37,162.785699785117,0.60890249523431,171.92375616908
38,162.102063530218,0.608498630729893,171.750761867946
39,161.443349269716,0.608108666393631,171.582418189266
40,160.807581537605,0.607731446990866,171.418342424858
41,160.192934811831,0.607365903180907,171.258185179474
42,159.597730786906,0.607011049945046,171.101628273919
43,159.020433071989,0.606665983388122,170.948382592542
44,158.459640026551,0.606329877634788,170.798185908372
45,157.914076345368,0.606001979725553,170.650800703228
46,157.382584309974,0.605681605113361,170.506012107628
47,156.86411471125,0.605368132597959,170.363625903772
48,156.357717945897,0.605060999440111,170.223466656546
49,155.862535283637,0.604759696598695,170.085375945247
50,155.377790645671,0.604463763860756,169.94921073988
