"Time","pNDC80","pNDC80_TTKi","pNDC80_pTTKi","pNDC80_TTKa","pNDC80_pTTKa"
0,0,0,0,0,0
1,28.6683665713726,0.000915427952987921,0.203670857546057,0.306343272963374,45.3831661673735
2,58.1755226727199,0.00084480932149997,0.303715904356494,0.366822883445124,84.9726448335015
3,82.8928990818088,0.00101748072141279,0.415961152755992,0.439230444288171,117.962812059517
4,104.442396373482,0.00116744504754798,0.499874409375162,0.504144655663703,142.835337829563
5,123.425971014297,0.00127576012184603,0.555589495948664,0.552634168883364,159.562914525147
6,139.761082308862,0.00134442628899204,0.588591318908059,0.584028638381069,169.544300912237
7,153.227868194418,0.0013840246991654,0.606188404044848,0.602363404772655,174.874285265077
8,163.801080524678,0.00140573742089385,0.614785446783882,0.612490309916555,177.464891600247
9,171.709046634367,0.00141744804327197,0.618613178635713,0.617980049639324,178.601098260185
10,177.337956263134,0.00142369156612169,0.620013574570344,0.620926445880536,178.999488636111
11,181.119824684111,0.00142686043158189,0.620174672712432,0.62244334214586,179.024221109034
12,183.460359296834,0.00142820667972364,0.619685744358543,0.623114458539799,178.855477530801
13,184.706920902547,0.0014284127142386,0.618845425580036,0.623257448632961,178.584008079325
14,185.14136295524,0.00142787672777854,0.617812632683445,0.623056916304981,178.257651956405
15,184.985069179901,0.00142684801135222,0.616677275208542,0.62262815410396,177.90315784633
16,184.408384943246,0.0014254930751936,0.615493338347574,0.622047770227399,177.536377462912
17,183.540556472533,0.00142392716186798,0.614294791595531,0.621368984904822,177.167148112016
18,182.478614405823,0.0014222329786886,0.613103639170304,0.620629796786123,176.801748698909
19,181.294720578394,0.00142047031416176,0.611934266332591,0.619857702868766,176.444215724461
20,180.042003945151,0.00141868227029782,0.610795961902589,0.61907265093492,176.097099996863
21,178.7591240525,0.00141690012273289,0.609694490341798,0.618289022967415,175.761934360835
22,177.473788817812,0.00141514578534254,0.608633117929515,0.61751703129541,175.439536192746
23,176.205440081582,0.00141343459356768,0.607613337349517,0.616763744956422,175.130219918186
24,174.967323797425,0.00141177638663707,0.606635371224258,0.616033857562234,174.833942951779
25,173.768062425555,0.00141017749643136,0.605698545193728,0.615330271452879,174.55041349114
26,172.612855464066,0.00140864118917381,0.604801562083693,0.614654546882483,174.279169511544
27,171.504393722239,0.00140716831869001,0.603942707513322,0.614007249336169,174.019637431586
28,170.44355446154,0.0014057585439077,0.603120004530899,0.613388216815079,173.77117574433
29,169.429927819461,0.00140441025248146,0.602331327227143,0.612796767594444,173.533107429441
30,168.462214212292,0.0014031210547312,0.6015744867535,0.612231859825238,173.304743901296
31,167.53852256027,0.00140188809584993,0.600847293755112,0.611692214104544,173.08540242674
32,166.656592588028,0.0014007081003095,0.600147603544182,0.611176406838815,172.874418597779
33,165.81395874563,0.00139957777299313,0.599473348603571,0.610682940171837,172.671154935068
34,165.008069934765,0.00139849365608443,0.598822558896991,0.610210294876469,172.47500663569
35,164.236374821634,0.00139745255141282,0.59819337665673,0.609756967935595,172.285404949194
36,163.496381843807,0.00139645102417797,0.59758406244101,0.609321500303586,172.101818974957
37,162.785699785117,0.00139548613883919,0.5969929998338,0.60890249523431,171.92375616908
38,162.102063530218,0.00139455483847849,0.596418693708143,0.608498630729893,171.750761867946
39,161.443349269716,0.00139365449082514,0.595859767552539,0.608108666393631,171.582418189266
40,160.807581537605,0.00139278255273876,0.595314960062034,0.607731446990866,171.418342424858
41,160.192934811831,0.00139193657242137,0.594783117183733,0.607365903180907,171.258185179474
42,159.597730786906,0.00139111427536876,0.594263187979097,0.607011049945046,171.101628273919
43,159.020433071989,0.00139031391890909,0.593754216395716,0.606665983388122,170.948382592542
44,158.459640026551,0.00138953347694444,0.593255334796058,0.606329877634788,170.798185908372
45,157.914076345368,0.00138877136940751,0.592765756954553,0.606001979725553,170.650800703228
46,157.382584309974,0.00138802602178774,0.592284771174915,0.605681605113361,170.506012107628
47,156.86411471125,0.00138729615806722,0.591811733987277,0.605368132597959,170.363625903772
48,156.357717945897,0.0013865805359652,0.591346063776835,0.605060999440111,170.223466656546
49,155.862535283637,0.00138587793742532,0.590887235478869,0.604759696598695,170.085375945247
50,155.377790645671,0.00138518749881358,0.590434774766823,0.604463763860756,169.94921073988
