"Time","bound_CPC"
0,0
1,7.01944784032642
2,7.37543641932671
3,7.88968130034029
4,8.50554542045829
5,9.15041231134173
6,9.76603043485361
7,10.3088946491028
8,10.7606958047028
9,11.1247431979513
10,11.4128624710684
11,11.6386019220029
12,11.8145484071433
13,11.9514480402644
14,12.058087563879
15,12.1414776081754
16,12.207127824507
17,12.2593246732023
18,12.3013790110788
19,12.3358335466521
20,12.364630841798
21,12.3892475551652
22,12.4108007645709
23,12.4301295603127
24,12.4478603091749
25,12.4644564870928
26,12.4802574225638
27,12.495508230411
28,12.5103829168291
29,12.525002138241
30,12.5394468321625
31,12.5537686517303
32,12.5679979181027
33,12.5821496625441
34,12.5962281881901
35,12.6102304968295
36,12.6241488400207
37,12.6379726025971
38,12.6516896735579
39,12.665287429488
40,12.6787534228422
41,12.6920758486237
42,12.7052438469724
43,12.7182476824589
44,12.7310788368222
45,12.7437300325468
46,12.756195216586
47,12.7684695102358
48,12.7805491407548
49,12.7924313588024
50,12.8041143524382
