"Time","bound_active_CPC"
0,0
1,4.19962510163867
2,4.40104236344791
3,4.696134266894
4,5.05082414367606
5,5.42179826422186
6,5.77453764418554
7,6.08343036336889
8,6.33782062980594
9,6.53980313395037
10,6.69646458086239
11,6.81588059960409
12,6.90554176338286
13,6.97184172576851
14,7.02001108617374
15,7.05422741520886
16,7.07777844680942
17,7.09322638275797
18,7.10255423146642
19,7.10728844705939
20,7.10859830467954
21,7.10737538262821
22,7.10429659255106
23,7.09987258456938
24,7.09448653638506
25,7.0884238007501
26,7.08189498857609
27,7.0750538280504
28,7.06801097119945
29,7.06084462221176
30,7.05360870921989
31,7.04633915212502
32,7.03905864935932
33,7.03178032421296
34,7.02451048510534
35,7.01725070716403
36,7.00999938767074
37,7.00275290075764
38,6.99550644356401
39,6.98825464877588
40,6.98099201855325
41,6.97371322396551
42,6.96641330480116
43,6.95908779365423
44,6.95173278696334
45,6.94434497337108
46,6.93692163672318
47,6.92946063784572
48,6.92196038431861
49,6.91441979090396
50,6.90683823685719
