"Time","pH2A_SGO1_CPCi"
0,0
1,0.685250726196651
2,0.865226919723549
3,1.00360380585467
4,1.1123906825181
5,1.19257810631416
6,1.2462671785621
7,1.27776785442658
8,1.29209717241585
9,1.29378814446806
10,1.28654564031091
11,1.27325084593412
12,1.25607795290777
13,1.23663332616133
14,1.21608253245826
15,1.19525582173936
16,1.17473172403937
17,1.15490155350141
18,1.13601861051351
19,1.11823535176607
20,1.101631307091
21,1.0862340480461
22,1.07203455187913
23,1.05899906181151
24,1.04707741114506
25,1.03620931766521
26,1.02632891877263
27,1.01736802975953
28,1.00925843863276
29,1.00193349241833
30,0.995329157293385
31,0.989384687209152
32,0.984043012721628
33,0.979250921233685
34,0.974959097390436
35,0.971122052499145
36,0.967697993817101
37,0.964648647848062
38,0.961939052890509
39,0.959537342144751
40,0.957414518642918
41,0.955544236566395
42,0.953902585062354
43,0.952467884515164
44,0.951220493215868
45,0.950142624790432
46,0.949218181182648
47,0.948432596758128
48,0.94777269595066
49,0.947226561240475
50,0.946783414118873
