"Time","bound_CPC"
0,0
1,10.7972799434683
2,10.6237686167305
3,10.2965621059225
4,9.90087505655466
5,9.47910236235153
6,9.06154636886066
7,8.66961735768645
8,8.31596252204904
9,8.00528910624089
10,7.73715438520529
11,7.50835480255606
12,7.31448736275465
13,7.15086376596008
14,7.0130006789039
15,6.89684822850285
16,6.7988698692532
17,6.71604246027281
18,6.64581690314574
19,6.58606285750695
20,6.53501047210217
21,6.49119485385644
22,6.45340500243441
23,6.42064250111607
24,6.39208340978419
25,6.36704778399878
26,6.34497407331082
27,6.32539802466051
28,6.30793526283865
29,6.2922670411347
30,6.27812856454924
31,6.26529941650165
32,6.25359574073747
33,6.24286382082234
34,6.23297484413563
35,6.22382057980361
36,6.21530985448177
37,6.20736565104955
38,6.19992271474503
39,6.19292558643884
40,6.18632697844402
41,6.18008643016493
42,6.1741692005701
43,6.16854534450728
44,6.16318895287522
45,6.1580775101942
46,6.15319137353166
47,6.14851332448402
48,6.14402820569148
49,6.13972261208354
50,6.13558463025909
