"Time","pH2A_SGO1_CPCi","SGO1_CPCi"
0,0,0
1,2.24070750757776,0.00564663413873152
2,2.31441844664391,0.00267881107579433
3,2.29137003614215,0.00232978800116153
4,2.22583710254965,0.0021902566751524
5,2.14070582456178,0.00211060344464131
6,2.04898952725245,0.00205349733514021
7,1.9582411601016,0.00200702120579708
8,1.87264127847399,0.00196692229642375
9,1.79418638615725,0.00193147763642949
10,1.72355997773177,0.00189987303845279
11,1.66070513428092,0.00187164379786902
12,1.60517683646246,0.00184646715548922
13,1.55635124090586,0.00182408294186616
14,1.51354656408681,0.00180426288241429
15,1.47608936819085,0.00178679864065286
16,1.44334862047774,0.00177149714362489
17,1.41475085645261,0.00175817874839599
18,1.38978455034821,0.00174667622539749
19,1.36799865373157,0.00173683418464693
20,1.34899830660936,0.00172850847518646
21,1.33243931780445,0.00172156566595658
22,1.31802189958153,0.00171588225610157
23,1.3054856861018,0.00171134442638708
24,1.2946041276155,0.0017078472217713
25,1.28517999132629,0.00170529405443435
26,1.27704132894168,0.00170359610767155
27,1.27003799366889,0.00170267188861639
28,1.26403862993088,0.00170244663211531
29,1.25892810569112,0.00170285187733858
30,1.25460531925978,0.00170382497347381
31,1.25098132219252,0.00170530867158178
32,1.2479777202492,0.00170725070211877
33,1.24552530063137,0.00170960335519016
34,1.2435628634247,0.00171232321217857
35,1.2420362068095,0.00171537070546265
36,1.24089726274712,0.0017187098603039
37,1.24010335014812,0.00172230798269555
38,1.23961652375468,0.00172613538561331
39,1.23940301396868,0.00173016513173081
40,1.2394327357252,0.00173437282657188
41,1.23967886461582,0.00173873634756701
42,1.24011746212841,0.00174323570799469
43,1.24072715045099,0.00174785278692758
44,1.24148882615548,0.00175257127574982
45,1.24238540622303,0.00175737640439158
46,1.24340160770075,0.00176225487796484
47,1.24452375056973,0.00176719471774327
48,1.24573958563465,0.0017721851290094
49,1.24703813961742,0.0017772164146722
50,1.24840957969273,0.00178227986164823
